code_site,code_station,grandeur_hydro,date_debut_serie,date_fin_serie,code_systeme_alti_serie,date_obs,resultat_obs,code_methode_obs,libelle_methode_obs,code_qualification_obs,libelle_qualification_obs,longitude,latitude,code_statut,libelle_statut,code_continuite,libelle_continuite
A2350200,A235020001,H,2026-06-02T23:10:00Z,2026-06-03T00:00:00Z,31,2026-06-03T00:00:00Z,562.0,0,Mesurée,16,Non qualifiée,7.45981862,48.271832622,4,Brute,0,Continue
A2350200,A235020001,H,2026-06-02T23:10:00Z,2026-06-03T00:00:00Z,31,2026-06-02T23:50:00Z,563.0,0,Mesurée,16,Non qualifiée,7.45981862,48.271832622,4,Brute,0,Continue
A2350200,A235020001,H,2026-06-02T23:10:00Z,2026-06-03T00:00:00Z,31,2026-06-02T23:40:00Z,563.0,0,Mesurée,16,Non qualifiée,7.45981862,48.271832622,4,Brute,0,Continue
A2350200,A235020001,H,2026-06-02T23:10:00Z,2026-06-03T00:00:00Z,31,2026-06-02T23:30:00Z,566.0,0,Mesurée,16,Non qualifiée,7.45981862,48.271832622,4,Brute,0,Continue
A2350200,A235020001,H,2026-06-02T23:10:00Z,2026-06-03T00:00:00Z,31,2026-06-02T23:20:00Z,565.0,0,Mesurée,16,Non qualifiée,7.45981862,48.271832622,4,Brute,0,Continue
A2350200,A235020001,H,2026-06-02T23:10:00Z,2026-06-03T00:00:00Z,31,2026-06-02T23:10:00Z,566.0,0,Mesurée,16,Non qualifiée,7.45981862,48.271832622,4,Brute,0,Continue
A2350200,A235020001,H,2026-06-02T00:10:00Z,2026-06-02T23:00:00Z,31,2026-06-02T23:00:00Z,564.0,0,Mesurée,16,Non qualifiée,7.45981862,48.271832622,4,Brute,0,Continue
A2350200,A235020001,H,2026-06-02T00:10:00Z,2026-06-02T23:00:00Z,31,2026-06-02T22:50:00Z,564.0,0,Mesurée,16,Non qualifiée,7.45981862,48.271832622,4,Brute,0,Continue
A2350200,A235020001,H,2026-06-02T00:10:00Z,2026-06-02T23:00:00Z,31,2026-06-02T22:40:00Z,564.0,0,Mesurée,16,Non qualifiée,7.45981862,48.271832622,4,Brute,0,Continue
A2350200,A235020001,H,2026-06-02T00:10:00Z,2026-06-02T23:00:00Z,31,2026-06-02T22:30:00Z,559.0,0,Mesurée,16,Non qualifiée,7.45981862,48.271832622,4,Brute,0,Continue
A2350200,A235020001,H,2026-06-02T00:10:00Z,2026-06-02T23:00:00Z,31,2026-06-02T22:20:00Z,557.0,0,Mesurée,16,Non qualifiée,7.45981862,48.271832622,4,Brute,0,Continue
A2350200,A235020001,H,2026-06-02T00:10:00Z,2026-06-02T23:00:00Z,31,2026-06-02T22:10:00Z,552.0,0,Mesurée,16,Non qualifiée,7.45981862,48.271832622,4,Brute,0,Continue
A2350200,A235020001,H,2026-06-02T00:10:00Z,2026-06-02T22:00:00Z,31,2026-06-02T22:00:00Z,553.0,0,Mesurée,16,Non qualifiée,7.45981862,48.271832622,4,Brute,0,Continue
A2350200,A235020001,H,2026-06-02T00:10:00Z,2026-06-02T22:00:00Z,31,2026-06-02T21:50:00Z,552.0,0,Mesurée,16,Non qualifiée,7.45981862,48.271832622,4,Brute,0,Continue
A2350200,A235020001,H,2026-06-02T00:10:00Z,2026-06-02T22:00:00Z,31,2026-06-02T21:40:00Z,550.0,0,Mesurée,16,Non qualifiée,7.45981862,48.271832622,4,Brute,0,Continue
A2350200,A235020001,H,2026-06-02T00:10:00Z,2026-06-02T22:00:00Z,31,2026-06-02T21:30:00Z,550.0,0,Mesurée,16,Non qualifiée,7.45981862,48.271832622,4,Brute,0,Continue
A2350200,A235020001,H,2026-06-02T00:10:00Z,2026-06-02T22:00:00Z,31,2026-06-02T21:20:00Z,551.0,0,Mesurée,16,Non qualifiée,7.45981862,48.271832622,4,Brute,0,Continue
A2350200,A235020001,H,2026-06-02T00:10:00Z,2026-06-02T22:00:00Z,31,2026-06-02T21:10:00Z,550.0,0,Mesurée,16,Non qualifiée,7.45981862,48.271832622,4,Brute,0,Continue
A2350200,A235020001,H,2026-06-02T00:10:00Z,2026-06-02T21:00:00Z,31,2026-06-02T21:00:00Z,551.0,0,Mesurée,16,Non qualifiée,7.45981862,48.271832622,4,Brute,0,Continue
A2350200,A235020001,H,2026-06-02T00:10:00Z,2026-06-02T21:00:00Z,31,2026-06-02T20:50:00Z,550.0,0,Mesurée,16,Non qualifiée,7.45981862,48.271832622,4,Brute,0,Continue
A2350200,A235020001,H,2026-06-02T00:10:00Z,2026-06-02T21:00:00Z,31,2026-06-02T20:40:00Z,550.0,0,Mesurée,16,Non qualifiée,7.45981862,48.271832622,4,Brute,0,Continue
