code_site,code_station,date_obs_elab,resultat_obs_elab,longitude,latitude,grandeur_hydro_elab
A2350200,A235020001,2007-01-01,958.0,7.45981862,48.271832622,HIXM
A2350200,A235020001,2007-02-01,1079.0,7.45981862,48.271832622,HIXM
A2350200,A235020001,2007-03-01,1476.0,7.45981862,48.271832622,HIXM
A2350200,A235020001,2007-04-01,754.0,7.45981862,48.271832622,HIXM
A2350200,A235020001,2007-05-01,783.0,7.45981862,48.271832622,HIXM
A2350200,A235020001,2007-06-01,727.0,7.45981862,48.271832622,HIXM
A2350200,A235020001,2007-07-01,807.0,7.45981862,48.271832622,HIXM
A2350200,A235020001,2007-08-01,706.0,7.45981862,48.271832622,HIXM
A2350200,A235020001,2007-09-01,596.0,7.45981862,48.271832622,HIXM
A2350200,A235020001,2007-10-01,492.0,7.45981862,48.271832622,HIXM
A2350200,A235020001,2007-11-01,879.0,7.45981862,48.271832622,HIXM
A2350200,A235020001,2007-12-01,1139.0,7.45981862,48.271832622,HIXM
A2350200,A235020001,2008-01-01,923.0,7.45981862,48.271832622,HIXM
A2350200,A235020001,2008-02-01,873.0,7.45981862,48.271832622,HIXM
A2350200,A235020001,2008-03-01,998.0,7.45981862,48.271832622,HIXM
A2350200,A235020001,2008-04-01,1099.0,7.45981862,48.271832622,HIXM
A2350200,A235020001,2008-05-01,744.0,7.45981862,48.271832622,HIXM
A2350200,A235020001,2008-06-01,631.0,7.45981862,48.271832622,HIXM
A2350200,A235020001,2008-07-01,444.0,7.45981862,48.271832622,HIXM
A2350200,A235020001,2008-08-01,803.0,7.45981862,48.271832622,HIXM
A2350200,A235020001,2008-09-01,951.0,7.45981862,48.271832622,HIXM
A2350200,A235020001,2008-10-01,697.0,7.45981862,48.271832622,HIXM
A2350200,A235020001,2008-11-01,782.0,7.45981862,48.271832622,HIXM
A2350200,A235020001,2008-12-01,834.0,7.45981862,48.271832622,HIXM
A2350200,A235020001,2009-01-01,744.0,7.45981862,48.271832622,HIXM
A2350200,A235020001,2009-02-01,836.0,7.45981862,48.271832622,HIXM
A2350200,A235020001,2009-03-01,906.0,7.45981862,48.271832622,HIXM
A2350200,A235020001,2009-04-01,735.0,7.45981862,48.271832622,HIXM
A2350200,A235020001,2009-05-01,649.0,7.45981862,48.271832622,HIXM
A2350200,A235020001,2009-06-01,625.0,7.45981862,48.271832622,HIXM
A2350200,A235020001,2009-07-01,889.0,7.45981862,48.271832622,HIXM
A2350200,A235020001,2009-08-01,867.0,7.45981862,48.271832622,HIXM
A2350200,A235020001,2009-09-01,387.0,7.45981862,48.271832622,HIXM
A2350200,A235020001,2009-10-01,486.0,7.45981862,48.271832622,HIXM
A2350200,A235020001,2009-11-01,649.0,7.45981862,48.271832622,HIXM
A2350200,A235020001,2009-12-01,1107.0,7.45981862,48.271832622,HIXM
