code_site,code_station,date_obs_elab,longitude,latitude,HIXM,HIXnJ,QINM,QINnJ,QIXM,QIXnJ,QmM,QmnJ
A2350200,A235020001,2007-01-01,7.45981862,48.271832622,958.0,700.0,828.0,828.0,12320.0,4500.0,6198.0,2501.0
A2350200,A235020001,2007-01-02,7.45981862,48.271832622,,821.0,,2557.0,,7930.0,,5360.0
A2350200,A235020001,2007-01-03,7.45981862,48.271832622,,810.0,,6363.0,,7600.0,,6811.0
A2350200,A235020001,2007-01-04,7.45981862,48.271832622,,797.0,,6101.0,,7210.0,,6600.0
A2350200,A235020001,2007-01-05,7.45981862,48.271832622,,795.0,,6279.0,,7152.0,,6657.0
A2350200,A235020001,2007-01-06,7.45981862,48.271832622,,777.0,,6101.0,,6610.0,,6329.0
A2350200,A235020001,2007-01-07,7.45981862,48.271832622,,822.0,,6392.0,,7960.0,,7087.0
A2350200,A235020001,2007-01-08,7.45981862,48.271832622,,811.0,,6580.0,,7630.0,,6989.0
A2350200,A235020001,2007-01-09,7.45981862,48.271832622,,791.0,,6134.0,,7030.0,,6731.0
A2350200,A235020001,2007-01-10,7.45981862,48.271832622,,765.0,,5667.0,,6266.0,,5899.0
A2350200,A235020001,2007-01-11,7.45981862,48.271832622,,863.0,,6266.0,,9200.0,,7020.0
A2350200,A235020001,2007-01-12,7.45981862,48.271832622,,958.0,,6623.0,,12320.0,,8762.0
A2350200,A235020001,2007-01-13,7.45981862,48.271832622,,777.0,,5880.0,,6623.0,,6318.0
A2350200,A235020001,2007-01-14,7.45981862,48.271832622,,751.0,,5227.0,,5880.0,,5638.0
A2350200,A235020001,2007-01-15,7.45981862,48.271832622,,727.0,,4503.0,,5227.0,,4808.0
A2350200,A235020001,2007-01-16,7.45981862,48.271832622,,700.0,,4157.0,,4503.0,,4330.0
A2350200,A235020001,2007-01-17,7.45981862,48.271832622,,683.0,,3628.0,,4157.0,,3819.0
