code_site,code_station,date_obs_elab,resultat_obs_elab,date_prod,code_statut,libelle_statut,code_methode,libelle_methode,code_qualification,libelle_qualification,longitude,latitude,grandeur_hydro_elab
A2350200,A235020002,1966-01-01,1090.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1966-02-01,1340.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1966-03-01,850.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1966-04-01,670.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1966-05-01,310.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1966-06-01,150.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1966-07-01,180.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1966-08-01,550.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1966-09-01,440.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1966-10-01,230.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1966-11-01,470.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1966-12-01,2190.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1967-01-01,1730.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1967-02-01,840.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1967-03-01,780.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1967-04-01,740.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1967-05-01,630.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1967-06-01,520.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1967-07-01,670.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1967-08-01,360.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1967-09-01,540.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1967-10-01,430.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1967-11-01,640.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1967-12-01,1470.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1968-01-01,1700.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1968-02-01,890.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1968-03-01,890.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1968-04-01,1070.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1968-05-01,750.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1968-06-01,450.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1968-07-01,330.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1968-08-01,560.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1968-09-01,940.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1968-10-01,1330.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1968-11-01,860.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1968-12-01,770.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1969-01-01,830.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1969-02-01,1260.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1969-03-01,1060.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1969-04-01,1860.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1969-05-01,1148.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1969-06-01,1010.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1969-07-01,561.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1969-08-01,960.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1969-09-01,488.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1969-10-01,280.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1969-11-01,470.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1969-12-01,530.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1970-01-01,1140.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1970-02-01,2210.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1970-03-01,1030.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1970-04-01,1120.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1970-05-01,1340.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1970-06-01,1280.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1970-07-01,670.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1970-08-01,500.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1970-09-01,490.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1970-10-01,640.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1970-11-01,700.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1971-02-01,610.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1971-03-01,600.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1971-04-01,550.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1971-05-01,550.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1971-06-01,810.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1971-07-01,530.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1971-08-01,490.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1971-09-01,410.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1971-10-01,400.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1971-11-01,770.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1971-12-01,560.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1972-01-01,530.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1972-02-01,610.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1972-03-01,720.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1972-04-01,800.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1972-05-01,660.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1972-06-01,630.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1972-07-01,540.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1972-08-01,830.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1972-09-01,420.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1972-10-01,470.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1972-11-01,2170.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1972-12-01,730.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1973-01-01,470.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1973-02-01,510.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1973-03-01,500.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1973-04-01,660.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1973-05-01,980.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1973-06-01,640.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1973-07-01,490.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1973-08-01,420.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1973-09-01,340.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1973-10-01,580.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1973-11-01,1460.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1973-12-01,1170.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1974-01-01,880.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1974-02-01,1080.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1974-03-01,830.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1974-04-01,402.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1974-05-01,280.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1974-06-01,290.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1974-07-01,300.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1974-08-01,270.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1974-09-01,270.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1974-10-01,1130.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1974-11-01,1096.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1974-12-01,1320.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1975-01-01,900.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1975-02-01,840.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1975-03-01,500.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1975-04-01,870.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1975-05-01,380.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1975-06-01,500.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1975-07-01,540.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1975-08-01,370.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1975-09-01,560.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
A2350200,A235020002,1975-10-01,290.0,2026-05-31T21:42:39Z,16,Donnée validée,10,Expertisée,20,Bonne,7.456646587,48.27284149,HIXM
