code_site,code_station,date_obs_elab,resultat_obs_elab,date_prod,code_statut,libelle_statut,code_methode,libelle_methode,code_qualification,libelle_qualification,longitude,latitude,grandeur_hydro_elab
A1580201,A158020101,1971-02-01,1282.0,2026-06-01T17:13:41Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINM
A1580201,A158020101,1971-03-01,800.0,2026-06-01T17:13:41Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINM
A1580201,A158020101,1971-04-01,443.0,2026-06-01T17:13:41Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINM
A1580201,A158020101,1971-05-01,110.0,2026-06-01T17:13:41Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINM
A1580201,A158020101,1971-06-01,300.0,2026-06-01T17:13:41Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINM
A1580201,A158020101,1971-09-01,30.0,2026-06-01T17:13:41Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINM
A1580201,A158020101,1971-12-01,110.0,2026-06-01T17:13:41Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINM
A1580201,A158020101,1972-01-01,110.0,2026-06-01T17:13:41Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINM
A1580201,A158020101,1972-02-01,600.0,2026-06-01T17:13:41Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINM
A1580201,A158020101,1972-03-01,10.0,2026-06-01T17:13:41Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINM
A1580201,A158020101,1972-04-01,1355.0,2026-06-01T17:13:41Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINM
A1580201,A158020101,1972-05-01,80.0,2026-06-01T17:13:41Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINM
A1580201,A158020101,1972-06-01,230.0,2026-06-01T17:13:41Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINM
A1580201,A158020101,1972-07-01,25.0,2026-06-01T17:13:41Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINM
A1580201,A158020101,1972-08-01,230.0,2026-06-01T17:13:41Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINM
A1580201,A158020101,1972-09-01,80.0,2026-06-01T17:13:41Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINM
A1580201,A158020101,1972-10-01,230.0,2026-06-01T17:13:41Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINM
A1580201,A158020101,1972-11-01,360.0,2026-06-01T17:13:41Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINM
A1580201,A158020101,1972-12-01,975.0,2026-06-01T17:13:41Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINM
A1580201,A158020101,1973-01-01,600.0,2026-06-01T17:13:41Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINM
A1580201,A158020101,1973-02-01,700.0,2026-06-01T17:13:41Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINM
A1580201,A158020101,1973-04-01,950.0,2026-06-01T17:13:41Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINM
A1580201,A158020101,1973-05-01,950.0,2026-06-01T17:13:41Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINM
A1580201,A158020101,1973-06-01,360.0,2026-06-01T17:13:41Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINM
A1580201,A158020101,1973-07-01,50.0,2026-06-01T17:13:41Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINM
A1580201,A158020101,1973-08-01,230.0,2026-06-01T17:13:41Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINM
A1580201,A158020101,1973-09-01,230.0,2026-06-01T17:13:41Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINM
A1580201,A158020101,1973-10-01,290.0,2026-06-01T17:13:41Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINM
A1580201,A158020101,1973-11-01,230.0,2026-06-01T17:13:41Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINM
A1580201,A158020101,1973-12-01,360.0,2026-06-01T17:13:41Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINM
A1580201,A158020101,1974-01-01,1100.0,2026-06-01T17:13:41Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINM
A1580201,A158020101,1974-02-01,1100.0,2026-06-01T17:13:41Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINM
A1580201,A158020101,1974-03-01,1550.0,2026-06-01T17:13:41Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINM
A1580201,A158020101,1974-04-01,820.0,2026-06-01T17:13:41Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINM
A1580201,A158020101,1974-05-01,430.0,2026-06-01T17:13:41Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINM
A1580201,A158020101,1974-06-01,430.0,2026-06-01T17:13:41Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINM
A1580201,A158020101,1974-09-01,10.0,2026-06-01T17:13:41Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINM
A1580201,A158020101,1974-10-01,360.0,2026-06-01T17:13:41Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINM
A1580201,A158020101,1974-11-01,600.0,2026-06-01T17:13:41Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINM
A1580201,A158020101,1974-12-01,1860.0,2026-06-01T17:13:41Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINM
A1580201,A158020101,1975-01-01,2180.0,2026-06-01T17:13:41Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINM
A1580201,A158020101,1975-02-01,1250.0,2026-06-01T17:13:41Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINM
A1580201,A158020101,1975-03-01,700.0,2026-06-01T17:13:41Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINM
A1580201,A158020101,1975-04-01,1400.0,2026-06-01T17:13:41Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINM
A1580201,A158020101,1975-05-01,290.0,2026-06-01T17:13:41Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINM
A1580201,A158020101,1975-06-01,230.0,2026-06-01T17:13:41Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINM
A1580201,A158020101,1975-07-01,50.0,2026-06-01T17:13:41Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINM
A1580201,A158020101,1975-08-01,50.0,2026-06-01T17:13:41Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINM
A1580201,A158020101,1975-09-01,80.0,2026-06-01T17:13:41Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINM
A1580201,A158020101,1975-10-01,360.0,2026-06-01T17:13:41Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINM
A1580201,A158020101,1975-11-01,290.0,2026-06-01T17:13:41Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINM
A1580201,A158020101,1975-12-01,430.0,2026-06-01T17:13:41Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINM
A1580201,A158020101,1976-01-01,430.0,2026-06-01T17:13:41Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINM
A1580201,A158020101,1976-02-01,600.0,2026-06-01T17:13:41Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINM
A1580201,A158020101,1976-03-01,700.0,2026-06-01T17:13:41Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINM
A1580201,A158020101,1976-04-01,360.0,2026-06-01T17:13:41Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINM
A1580201,A158020101,1976-05-01,56.0,2026-06-01T17:13:41Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINM
