code_site,code_station,date_obs_elab,resultat_obs_elab,date_prod,code_statut,libelle_statut,code_methode,libelle_methode,code_qualification,libelle_qualification,longitude,latitude,grandeur_hydro_elab
A1610030,A161003001,2007-01-01,13238.0,2026-06-01T18:37:38Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QINM
A1610030,A161003001,2007-02-01,16593.0,2026-06-01T18:37:38Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QINM
A1610030,A161003001,2007-03-01,20102.0,2026-06-01T18:37:38Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QINM
A1610030,A161003001,2007-04-01,8954.0,2026-06-01T18:37:38Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QINM
A1610030,A161003001,2007-05-01,7317.0,2026-06-01T18:37:38Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QINM
A1610030,A161003001,2007-06-01,10701.0,2026-06-01T18:37:38Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QINM
A1610030,A161003001,2007-07-01,11663.0,2026-06-01T18:37:38Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QINM
A1610030,A161003001,2007-08-01,9353.0,2026-06-01T18:37:38Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QINM
A1610030,A161003001,2007-09-01,6133.0,2026-06-01T18:37:38Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QINM
A1610030,A161003001,2007-10-01,5360.0,2026-06-01T18:37:38Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QINM
A1610030,A161003001,2007-11-01,4920.0,2026-06-01T18:37:38Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QINM
A1610030,A161003001,2007-12-01,12906.0,2026-06-01T18:37:38Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QINM
A1610030,A161003001,2008-01-01,12107.0,2026-06-01T18:37:38Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QINM
A1610030,A161003001,2008-02-01,10641.0,2026-06-01T18:37:38Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QINM
A1610030,A161003001,2008-03-01,11778.0,2026-06-01T18:37:38Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QINM
A1610030,A161003001,2008-04-01,18681.0,2026-06-01T18:37:38Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QINM
