code_site,code_station,date_obs_elab,resultat_obs_elab,date_prod,code_statut,libelle_statut,code_methode,libelle_methode,code_qualification,libelle_qualification,longitude,latitude,grandeur_hydro_elab
A1610030,A161003001,2007-01-01,68408.0,2026-06-01T04:56:12Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QIXnJ
A1610030,A161003001,2007-01-02,86703.0,2026-06-01T04:56:12Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QIXnJ
A1610030,A161003001,2007-01-03,87356.0,2026-06-01T04:56:12Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QIXnJ
A1610030,A161003001,2007-01-04,65346.0,2026-06-01T04:56:12Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QIXnJ
A1610030,A161003001,2007-01-05,57175.0,2026-06-01T04:56:12Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QIXnJ
A1610030,A161003001,2007-01-06,52135.0,2026-06-01T04:56:12Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QIXnJ
A1610030,A161003001,2007-01-07,55017.0,2026-06-01T04:56:12Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QIXnJ
A1610030,A161003001,2007-01-08,61608.0,2026-06-01T04:56:12Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QIXnJ
A1610030,A161003001,2007-01-09,69367.0,2026-06-01T04:56:12Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QIXnJ
A1610030,A161003001,2007-01-10,68997.0,2026-06-01T04:56:12Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QIXnJ
A1610030,A161003001,2007-01-11,56183.0,2026-06-01T04:56:12Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QIXnJ
A1610030,A161003001,2007-01-12,58575.0,2026-06-01T04:56:12Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QIXnJ
A1610030,A161003001,2007-01-13,57661.0,2026-06-01T04:56:12Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QIXnJ
A1610030,A161003001,2007-01-14,48064.0,2026-06-01T04:56:12Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QIXnJ
A1610030,A161003001,2007-01-15,41050.0,2026-06-01T04:56:12Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QIXnJ
A1610030,A161003001,2007-01-16,35689.0,2026-06-01T04:56:12Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QIXnJ
A1610030,A161003001,2007-01-17,32006.0,2026-06-01T04:56:12Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QIXnJ
A1610030,A161003001,2007-01-18,38200.0,2026-06-01T04:56:12Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QIXnJ
A1610030,A161003001,2007-01-19,135672.0,2026-06-01T04:56:12Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QIXnJ
A1610030,A161003001,2007-01-20,139708.0,2026-06-01T04:56:12Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QIXnJ
A1610030,A161003001,2007-01-21,99066.0,2026-06-01T04:56:12Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QIXnJ
A1610030,A161003001,2007-01-22,79003.0,2026-06-01T04:56:12Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QIXnJ
A1610030,A161003001,2007-01-23,62848.0,2026-06-01T04:56:12Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QIXnJ
A1610030,A161003001,2007-01-24,59008.0,2026-06-01T04:56:12Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QIXnJ
