code_site,code_station,date_obs_elab,resultat_obs_elab,date_prod,code_statut,libelle_statut,code_methode,libelle_methode,code_qualification,libelle_qualification,longitude,latitude,grandeur_hydro_elab
A3430210,A343021001,2007-01-01,598.0,2026-05-31T20:58:46Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,HIXnJ
A3430210,A343021001,2007-01-02,722.0,2026-05-31T20:58:46Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,HIXnJ
A3430210,A343021001,2007-01-03,725.0,2026-05-31T20:58:46Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,HIXnJ
A3430210,A343021001,2007-01-04,576.0,2026-05-31T20:58:46Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,HIXnJ
A3430210,A343021001,2007-01-05,519.0,2026-05-31T20:58:46Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,HIXnJ
A3430210,A343021001,2007-01-06,502.0,2026-05-31T20:58:46Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,HIXnJ
A3430210,A343021001,2007-01-07,498.0,2026-05-31T20:58:46Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,HIXnJ
A3430210,A343021001,2007-01-08,494.0,2026-05-31T20:58:46Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,HIXnJ
A3430210,A343021001,2007-01-09,489.0,2026-05-31T20:58:46Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,HIXnJ
A3430210,A343021001,2007-01-10,492.0,2026-05-31T20:58:46Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,HIXnJ
A3430210,A343021001,2007-01-11,585.0,2026-05-31T20:58:46Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,HIXnJ
A3430210,A343021001,2007-01-12,953.0,2026-05-31T20:58:46Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,HIXnJ
A3430210,A343021001,2007-01-13,657.0,2026-05-31T20:58:46Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,HIXnJ
A3430210,A343021001,2007-01-14,575.0,2026-05-31T20:58:46Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,HIXnJ
A3430210,A343021001,2007-01-15,505.0,2026-05-31T20:58:46Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,HIXnJ
A3430210,A343021001,2007-01-16,464.0,2026-05-31T20:58:46Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,HIXnJ
A3430210,A343021001,2007-01-17,478.0,2026-05-31T20:58:46Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,HIXnJ
A3430210,A343021001,2007-01-18,1004.0,2026-05-31T20:58:46Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,HIXnJ
A3430210,A343021001,2007-01-19,1080.0,2026-05-31T20:58:46Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,HIXnJ
A3430210,A343021001,2007-01-20,1081.0,2026-05-31T20:58:46Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,HIXnJ
A3430210,A343021001,2007-01-21,1638.0,2026-05-31T20:58:46Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,HIXnJ
A3430210,A343021001,2007-01-22,994.0,2026-05-31T20:58:46Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,HIXnJ
A3430210,A343021001,2007-01-23,798.0,2026-05-31T20:58:46Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,HIXnJ
A3430210,A343021001,2007-01-24,702.0,2026-05-31T20:58:46Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,HIXnJ
A3430210,A343021001,2007-01-25,625.0,2026-05-31T20:58:46Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,HIXnJ
A3430210,A343021001,2007-01-26,559.0,2026-05-31T20:58:46Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,HIXnJ
A3430210,A343021001,2007-01-27,509.0,2026-05-31T20:58:46Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,HIXnJ
A3430210,A343021001,2007-01-28,662.0,2026-05-31T20:58:46Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,HIXnJ
A3430210,A343021001,2007-01-29,779.0,2026-05-31T20:58:46Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,HIXnJ
A3430210,A343021001,2007-01-30,755.0,2026-05-31T20:58:46Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,HIXnJ
A3430210,A343021001,2007-01-31,640.0,2026-05-31T20:58:46Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,HIXnJ
A3430210,A343021001,2007-02-01,605.0,2026-05-31T20:58:46Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,HIXnJ
