code_site,code_station,date_obs_elab,resultat_obs_elab,date_prod,code_statut,libelle_statut,code_methode,libelle_methode,code_qualification,libelle_qualification,longitude,latitude,grandeur_hydro_elab
A2140100,A214010001,2007-01-01,2792.0,2026-05-31T22:04:35Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXM
A2140100,A214010001,2007-02-01,1848.0,2026-05-31T22:04:35Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXM
A2140100,A214010001,2007-03-01,3196.0,2026-05-31T22:04:35Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXM
A2140100,A214010001,2007-04-01,911.0,2026-05-31T22:04:35Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXM
A2140100,A214010001,2007-05-01,1016.0,2026-05-31T22:04:35Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXM
A2140100,A214010001,2007-06-01,3027.0,2026-05-31T22:04:35Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXM
A2140100,A214010001,2007-07-01,1346.0,2026-05-31T22:04:35Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXM
A2140100,A214010001,2007-08-01,1166.0,2026-05-31T22:04:35Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXM
A2140100,A214010001,2007-09-01,876.0,2026-05-31T22:04:35Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXM
A2140100,A214010001,2007-10-01,701.0,2026-05-31T22:04:35Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXM
A2140100,A214010001,2007-11-01,1203.0,2026-05-31T22:04:35Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXM
A2140100,A214010001,2007-12-01,2369.0,2026-05-31T22:04:35Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXM
A2140100,A214010001,2008-01-01,1491.0,2026-05-31T22:04:35Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXM
A2140100,A214010001,2008-02-01,1003.0,2026-05-31T22:04:35Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXM
A2140100,A214010001,2008-03-01,2143.0,2026-05-31T22:04:35Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXM
A2140100,A214010001,2008-04-01,2064.0,2026-05-31T22:04:35Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXM
A2140100,A214010001,2008-05-01,1588.0,2026-05-31T22:04:35Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXM
A2140100,A214010001,2008-06-01,800.0,2026-05-31T22:04:35Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXM
A2140100,A214010001,2008-07-01,761.0,2026-05-31T22:04:35Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXM
A2140100,A214010001,2008-08-01,1550.0,2026-05-31T22:04:35Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXM
A2140100,A214010001,2008-09-01,1405.0,2026-05-31T22:04:35Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXM
A2140100,A214010001,2008-10-01,1040.0,2026-05-31T22:04:35Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXM
A2140100,A214010001,2008-11-01,1244.0,2026-05-31T22:04:35Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXM
A2140100,A214010001,2008-12-01,1167.0,2026-05-31T22:04:35Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXM
A2140100,A214010001,2009-01-01,1675.0,2026-05-31T22:04:35Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXM
A2140100,A214010001,2009-02-01,1339.0,2026-05-31T22:04:35Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXM
A2140100,A214010001,2009-03-01,1491.0,2026-05-31T22:04:35Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXM
A2140100,A214010001,2009-04-01,1147.0,2026-05-31T22:04:35Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXM
A2140100,A214010001,2009-05-01,836.0,2026-05-31T22:04:35Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXM
A2140100,A214010001,2009-06-01,822.0,2026-05-31T22:04:35Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXM
A2140100,A214010001,2009-07-01,1113.0,2026-05-31T22:04:35Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXM
A2140100,A214010001,2009-08-01,795.0,2026-05-31T22:04:35Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXM
A2140100,A214010001,2009-09-01,672.0,2026-05-31T22:04:35Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXM
A2140100,A214010001,2009-10-01,724.0,2026-05-31T22:04:35Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXM
A2140100,A214010001,2009-11-01,1165.0,2026-05-31T22:04:35Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXM
A2140100,A214010001,2009-12-01,1949.0,2026-05-31T22:04:35Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXM
A2140100,A214010001,2010-01-01,1624.0,2026-05-31T22:04:35Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXM
A2140100,A214010001,2010-02-01,2017.0,2026-05-31T22:04:35Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXM
