code_site,code_station,date_obs_elab,resultat_obs_elab,date_prod,code_statut,libelle_statut,code_methode,libelle_methode,code_qualification,libelle_qualification,longitude,latitude,grandeur_hydro_elab
A3410200,A341020001,2007-01-01,800.0,2026-05-31T21:23:09Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,HIXM
A3410200,A341020001,2007-02-01,1328.0,2026-05-31T21:23:09Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,HIXM
A3410200,A341020001,2007-03-01,1535.0,2026-05-31T21:23:09Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,HIXM
A3410200,A341020001,2007-04-01,853.0,2026-05-31T21:23:09Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,HIXM
A3410200,A341020001,2007-05-01,858.0,2026-05-31T21:23:09Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,HIXM
A3410200,A341020001,2007-06-01,583.0,2026-05-31T21:23:09Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,HIXM
A3410200,A341020001,2007-07-01,1222.0,2026-05-31T21:23:09Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,HIXM
A3410200,A341020001,2007-08-01,1151.0,2026-05-31T21:23:09Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,HIXM
A3410200,A341020001,2007-09-01,428.0,2026-05-31T21:23:09Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,HIXM
A3410200,A341020001,2007-10-01,284.0,2026-05-31T21:23:09Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,HIXM
A3410200,A341020001,2007-11-01,470.0,2026-05-31T21:23:09Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,HIXM
A3410200,A341020001,2007-12-01,989.0,2026-05-31T21:23:09Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,HIXM
A3410200,A341020001,2008-01-01,869.0,2026-05-31T21:23:09Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,HIXM
A3410200,A341020001,2008-02-01,1119.0,2026-05-31T21:23:09Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,HIXM
A3410200,A341020001,2008-03-01,817.0,2026-05-31T21:23:09Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,HIXM
A3410200,A341020001,2008-04-01,833.0,2026-05-31T21:23:09Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,HIXM
