code_site,code_station,date_obs_elab,resultat_obs_elab,date_prod,code_statut,libelle_statut,code_methode,libelle_methode,code_qualification,libelle_qualification,longitude,latitude,grandeur_hydro_elab
A1580201,A158020101,1971-01-01,1855.0,2026-06-01T11:32:04Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINnJ
A1580201,A158020101,1971-01-02,1146.0,2026-06-01T11:32:04Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINnJ
A1580201,A158020101,1971-01-03,1050.0,2026-06-01T11:32:04Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINnJ
A1580201,A158020101,1971-01-08,1200.0,2026-06-01T11:32:04Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINnJ
A1580201,A158020101,1971-01-09,1360.0,2026-06-01T11:32:04Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINnJ
A1580201,A158020101,1971-01-10,1472.0,2026-06-01T11:32:04Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINnJ
A1580201,A158020101,1971-01-11,1360.0,2026-06-01T11:32:04Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINnJ
A1580201,A158020101,1971-01-12,1360.0,2026-06-01T11:32:04Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINnJ
A1580201,A158020101,1971-01-13,1360.0,2026-06-01T11:32:04Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINnJ
A1580201,A158020101,1971-01-14,1360.0,2026-06-01T11:32:04Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINnJ
A1580201,A158020101,1971-01-15,1200.0,2026-06-01T11:32:04Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINnJ
A1580201,A158020101,1971-01-16,1159.0,2026-06-01T11:32:04Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINnJ
A1580201,A158020101,1971-01-17,1050.0,2026-06-01T11:32:04Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINnJ
A1580201,A158020101,1971-01-18,1121.0,2026-06-01T11:32:04Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINnJ
A1580201,A158020101,1971-01-19,1050.0,2026-06-01T11:32:04Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINnJ
A1580201,A158020101,1971-01-20,1689.0,2026-06-01T11:32:04Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINnJ
A1580201,A158020101,1971-01-21,1900.0,2026-06-01T11:32:04Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINnJ
A1580201,A158020101,1971-01-22,1900.0,2026-06-01T11:32:04Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,QINnJ
