code_site,code_station,date_obs_elab,resultat_obs_elab,date_prod,code_statut,libelle_statut,code_methode,libelle_methode,code_qualification,libelle_qualification,longitude,latitude,grandeur_hydro_elab
A1610030,A161003001,2007-01-01,30850.0,2026-06-02T13:28:10Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QmnJ
A1610030,A161003001,2007-01-02,74465.0,2026-06-02T13:28:10Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QmnJ
A1610030,A161003001,2007-01-03,79907.0,2026-06-02T13:28:10Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QmnJ
A1610030,A161003001,2007-01-04,56203.0,2026-06-02T13:28:10Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QmnJ
A1610030,A161003001,2007-01-05,55207.0,2026-06-02T13:28:10Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QmnJ
A1610030,A161003001,2007-01-06,47096.0,2026-06-02T13:28:10Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QmnJ
A1610030,A161003001,2007-01-07,49994.0,2026-06-02T13:28:10Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QmnJ
A1610030,A161003001,2007-01-08,53788.0,2026-06-02T13:28:10Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QmnJ
A1610030,A161003001,2007-01-09,65716.0,2026-06-02T13:28:10Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QmnJ
A1610030,A161003001,2007-01-10,63330.0,2026-06-02T13:28:10Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QmnJ
A1610030,A161003001,2007-01-11,54738.0,2026-06-02T13:28:10Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QmnJ
A1610030,A161003001,2007-01-12,54992.0,2026-06-02T13:28:10Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QmnJ
A1610030,A161003001,2007-01-13,52461.0,2026-06-02T13:28:10Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QmnJ
A1610030,A161003001,2007-01-14,44131.0,2026-06-02T13:28:10Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QmnJ
A1610030,A161003001,2007-01-15,38087.0,2026-06-02T13:28:10Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QmnJ
A1610030,A161003001,2007-01-16,33738.0,2026-06-02T13:28:10Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QmnJ
A1610030,A161003001,2007-01-17,30369.0,2026-06-02T13:28:10Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QmnJ
A1610030,A161003001,2007-01-18,31319.0,2026-06-02T13:28:10Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QmnJ
A1610030,A161003001,2007-01-19,94843.0,2026-06-02T13:28:10Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QmnJ
A1610030,A161003001,2007-01-20,126703.0,2026-06-02T13:28:10Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QmnJ
A1610030,A161003001,2007-01-21,86507.0,2026-06-02T13:28:10Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QmnJ
A1610030,A161003001,2007-01-22,70518.0,2026-06-02T13:28:10Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QmnJ
A1610030,A161003001,2007-01-23,60642.0,2026-06-02T13:28:10Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QmnJ
A1610030,A161003001,2007-01-24,51256.0,2026-06-02T13:28:10Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QmnJ
A1610030,A161003001,2007-01-25,41557.0,2026-06-02T13:28:10Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QmnJ
A1610030,A161003001,2007-01-26,36450.0,2026-06-02T13:28:10Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QmnJ
A1610030,A161003001,2007-01-27,32584.0,2026-06-02T13:28:10Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QmnJ
A1610030,A161003001,2007-01-28,29606.0,2026-06-02T13:28:10Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QmnJ
A1610030,A161003001,2007-01-29,29030.0,2026-06-02T13:28:10Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QmnJ
A1610030,A161003001,2007-01-30,28880.0,2026-06-02T13:28:10Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QmnJ
A1610030,A161003001,2007-01-31,26558.0,2026-06-02T13:28:10Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QmnJ
A1610030,A161003001,2007-02-01,23817.0,2026-06-02T13:28:10Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QmnJ
A1610030,A161003001,2007-02-02,22018.0,2026-06-02T13:28:10Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QmnJ
A1610030,A161003001,2007-02-03,21331.0,2026-06-02T13:28:10Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QmnJ
A1610030,A161003001,2007-02-04,20171.0,2026-06-02T13:28:10Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QmnJ
A1610030,A161003001,2007-02-05,19544.0,2026-06-02T13:28:10Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QmnJ
A1610030,A161003001,2007-02-06,20529.0,2026-06-02T13:28:10Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QmnJ
A1610030,A161003001,2007-02-07,22724.0,2026-06-02T13:28:10Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QmnJ
A1610030,A161003001,2007-02-08,24997.0,2026-06-02T13:28:10Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QmnJ
A1610030,A161003001,2007-02-09,39439.0,2026-06-02T13:28:10Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QmnJ
A1610030,A161003001,2007-02-10,34111.0,2026-06-02T13:28:10Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QmnJ
A1610030,A161003001,2007-02-11,32207.0,2026-06-02T13:28:10Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QmnJ
A1610030,A161003001,2007-02-12,62072.0,2026-06-02T13:28:10Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QmnJ
A1610030,A161003001,2007-02-13,92252.0,2026-06-02T13:28:10Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QmnJ
A1610030,A161003001,2007-02-14,88358.0,2026-06-02T13:28:10Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QmnJ
A1610030,A161003001,2007-02-15,92480.0,2026-06-02T13:28:10Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QmnJ
A1610030,A161003001,2007-02-16,79897.0,2026-06-02T13:28:10Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QmnJ
A1610030,A161003001,2007-02-17,59341.0,2026-06-02T13:28:10Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QmnJ
A1610030,A161003001,2007-02-18,45875.0,2026-06-02T13:28:10Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QmnJ
A1610030,A161003001,2007-02-19,37228.0,2026-06-02T13:28:10Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QmnJ
A1610030,A161003001,2007-02-20,32312.0,2026-06-02T13:28:10Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QmnJ
A1610030,A161003001,2007-02-21,29106.0,2026-06-02T13:28:10Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QmnJ
A1610030,A161003001,2007-02-22,26602.0,2026-06-02T13:28:10Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QmnJ
A1610030,A161003001,2007-02-23,24471.0,2026-06-02T13:28:10Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QmnJ
A1610030,A161003001,2007-02-24,23222.0,2026-06-02T13:28:10Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QmnJ
A1610030,A161003001,2007-02-25,26279.0,2026-06-02T13:28:10Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QmnJ
A1610030,A161003001,2007-02-26,38648.0,2026-06-02T13:28:10Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QmnJ
A1610030,A161003001,2007-02-27,45706.0,2026-06-02T13:28:10Z,16,Donnée validée,10,Expertisée,20,Bonne,7.384986107,48.102530621,QmnJ
