code_site,code_station,date_obs_elab,resultat_obs_elab,date_prod,code_statut,libelle_statut,code_methode,libelle_methode,code_qualification,libelle_qualification,longitude,latitude,grandeur_hydro_elab
A2360030,A236003001,2007-01-01,26608.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2007-02-01,38819.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2007-03-01,32727.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2007-04-01,21152.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2007-05-01,19219.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2007-06-01,19632.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2007-07-01,24558.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2007-08-01,21706.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2007-09-01,14939.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2007-10-01,15399.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2007-11-01,16574.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2007-12-01,30884.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2008-01-01,27079.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2008-02-01,25887.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2008-03-01,28201.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2008-04-01,43319.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2008-05-01,17442.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2008-06-01,12946.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2008-07-01,14121.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2008-08-01,12589.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2008-09-01,17698.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2008-10-01,20944.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2008-11-01,26658.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2008-12-01,31946.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2009-01-01,18944.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2009-02-01,33081.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2009-03-01,41230.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2009-04-01,22956.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2009-05-01,15512.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2009-06-01,12486.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2009-07-01,11005.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2009-08-01,10637.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2009-09-01,12180.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2009-10-01,13406.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2009-11-01,16267.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2009-12-01,23164.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2010-01-01,33508.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2010-02-01,31805.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2010-03-01,32230.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2010-04-01,17595.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2010-05-01,22122.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2010-06-01,14940.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2010-07-01,10271.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2010-08-01,13202.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2010-09-01,13508.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2010-10-01,14734.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2010-11-01,16880.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2010-12-01,26097.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2011-01-01,36073.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2011-02-01,22469.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2011-03-01,16676.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2011-04-01,10551.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2011-05-01,9804.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.546574037,48.33701451,QINM
A2360030,A236003001,2011-06-01,10029.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.546574037,48.33701451,QINM
A2360030,A236003001,2011-07-01,10053.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2011-08-01,10130.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2011-09-01,10055.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2011-10-01,10117.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2011-11-01,15161.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2011-12-01,18037.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2012-01-01,40296.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2012-02-01,24838.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2012-03-01,16880.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2012-04-01,16420.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2012-05-01,17595.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2012-06-01,11924.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2012-07-01,10466.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2012-08-01,9749.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.546574037,48.33701451,QINM
A2360030,A236003001,2012-09-01,12282.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2012-10-01,14275.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2012-11-01,28274.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2012-12-01,48674.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2013-01-01,34290.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2013-02-01,40152.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2013-03-01,36072.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2013-04-01,32372.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2013-05-01,36286.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2013-06-01,21844.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2013-07-01,10138.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2013-08-01,10138.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2013-09-01,10551.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2013-10-01,15194.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2013-11-01,42168.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2013-12-01,23791.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2014-01-01,40731.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2014-02-01,35002.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2014-03-01,24628.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2014-04-01,16625.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2014-05-01,16114.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2014-06-01,9523.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.546574037,48.33701451,QINM
A2360030,A236003001,2014-07-01,9765.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.546574037,48.33701451,QINM
A2360030,A236003001,2014-08-01,17777.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2014-09-01,16063.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2014-10-01,15501.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2014-11-01,21498.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2014-12-01,23164.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2015-01-01,33721.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2015-02-01,31734.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2015-03-01,26447.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2015-04-01,23930.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2015-05-01,17302.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2015-06-01,9915.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.546574037,48.33701451,QINM
A2360030,A236003001,2015-07-01,7276.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.546574037,48.33701451,QINM
A2360030,A236003001,2015-08-01,7139.0,2026-06-01T18:33:43Z,16,Donnée validée,8,Calculée,12,Douteuse,7.546574037,48.33701451,QINM
A2360030,A236003001,2015-09-01,9197.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.546574037,48.33701451,QINM
A2360030,A236003001,2015-10-01,11494.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.546574037,48.33701451,QINM
A2360030,A236003001,2015-11-01,11218.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.546574037,48.33701451,QINM
A2360030,A236003001,2015-12-01,11218.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.546574037,48.33701451,QINM
A2360030,A236003001,2016-01-01,15755.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2016-02-01,71410.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2016-03-01,32747.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2016-04-01,37248.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2016-05-01,34961.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2016-06-01,43688.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2016-07-01,12109.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.546574037,48.33701451,QINM
A2360030,A236003001,2016-08-01,9937.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.546574037,48.33701451,QINM
A2360030,A236003001,2016-09-01,9342.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.546574037,48.33701451,QINM
A2360030,A236003001,2016-10-01,9588.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.546574037,48.33701451,QINM
A2360030,A236003001,2016-11-01,10287.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.546574037,48.33701451,QINM
A2360030,A236003001,2016-12-01,12109.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.546574037,48.33701451,QINM
A2360030,A236003001,2017-01-01,11402.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.546574037,48.33701451,QINM
A2360030,A236003001,2017-02-01,22646.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2017-03-01,23394.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2017-04-01,14465.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2017-05-01,13200.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2017-06-01,9915.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.546574037,48.33701451,QINM
A2360030,A236003001,2017-07-01,8758.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.546574037,48.33701451,QINM
A2360030,A236003001,2017-08-01,8154.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.546574037,48.33701451,QINM
A2360030,A236003001,2017-09-01,8305.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.546574037,48.33701451,QINM
A2360030,A236003001,2017-10-01,8806.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.546574037,48.33701451,QINM
A2360030,A236003001,2017-11-01,10146.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.546574037,48.33701451,QINM
A2360030,A236003001,2017-12-01,20778.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2018-01-01,50281.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2018-02-01,27398.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2018-03-01,27041.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2018-04-01,17612.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2018-05-01,13302.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2018-06-01,12170.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.546574037,48.33701451,QINM
A2360030,A236003001,2018-07-01,8007.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.546574037,48.33701451,QINM
A2360030,A236003001,2018-08-01,6938.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.546574037,48.33701451,QINM
A2360030,A236003001,2018-09-01,9056.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.546574037,48.33701451,QINM
A2360030,A236003001,2018-10-01,9455.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.546574037,48.33701451,QINM
A2360030,A236003001,2018-11-01,8475.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.546574037,48.33701451,QINM
A2360030,A236003001,2018-12-01,13509.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2019-01-01,21341.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2019-02-01,28752.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
A2360030,A236003001,2019-03-01,29465.0,2026-06-01T18:33:43Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QINM
