code_site,code_station,date_obs_elab,resultat_obs_elab,date_prod,code_statut,libelle_statut,code_methode,libelle_methode,code_qualification,libelle_qualification,longitude,latitude,grandeur_hydro_elab
A3430210,A343021001,2007-01-01,1638.0,2026-05-31T23:01:21Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,HIXM
A3430210,A343021001,2007-02-01,2941.0,2026-05-31T23:01:21Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,HIXM
A3430210,A343021001,2007-03-01,3072.0,2026-05-31T23:01:21Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,HIXM
A3430210,A343021001,2007-04-01,922.0,2026-05-31T23:01:21Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,HIXM
A3430210,A343021001,2007-05-01,1331.0,2026-05-31T23:01:21Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,HIXM
A3430210,A343021001,2007-06-01,557.0,2026-05-31T23:01:21Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,HIXM
A3430210,A343021001,2007-07-01,1433.0,2026-05-31T23:01:21Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,HIXM
A3430210,A343021001,2007-08-01,2551.0,2026-05-31T23:01:21Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,HIXM
A3430210,A343021001,2007-09-01,417.0,2026-05-31T23:01:21Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,HIXM
A3430210,A343021001,2007-10-01,297.0,2026-05-31T23:01:21Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,HIXM
A3430210,A343021001,2007-11-01,934.0,2026-05-31T23:01:21Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,HIXM
A3430210,A343021001,2007-12-01,2001.0,2026-05-31T23:01:21Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,HIXM
A3430210,A343021001,2008-01-01,2637.0,2026-05-31T23:01:21Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,HIXM
A3430210,A343021001,2008-02-01,2351.0,2026-05-31T23:01:21Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,HIXM
A3430210,A343021001,2008-03-01,2089.0,2026-05-31T23:01:21Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,HIXM
A3430210,A343021001,2008-04-01,1472.0,2026-05-31T23:01:21Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,HIXM
A3430210,A343021001,2008-05-01,477.0,2026-05-31T23:01:21Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,HIXM
A3430210,A343021001,2008-06-01,479.0,2026-05-31T23:01:21Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,HIXM
A3430210,A343021001,2008-07-01,188.0,2026-05-31T23:01:21Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,HIXM
A3430210,A343021001,2008-08-01,309.0,2026-05-31T23:01:21Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,HIXM
A3430210,A343021001,2008-09-01,584.0,2026-05-31T23:01:21Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,HIXM
A3430210,A343021001,2008-10-01,421.0,2026-05-31T23:01:21Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,HIXM
A3430210,A343021001,2008-11-01,471.0,2026-05-31T23:01:21Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,HIXM
A3430210,A343021001,2008-12-01,618.0,2026-05-31T23:01:21Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,HIXM
A3430210,A343021001,2009-01-01,1077.0,2026-05-31T23:01:21Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,HIXM
A3430210,A343021001,2009-02-01,1533.0,2026-05-31T23:01:21Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,HIXM
A3430210,A343021001,2009-03-01,2588.0,2026-05-31T23:01:21Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,HIXM
A3430210,A343021001,2009-04-01,576.0,2026-05-31T23:01:21Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,HIXM
A3430210,A343021001,2009-05-01,554.0,2026-05-31T23:01:21Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,HIXM
