code_site,code_station,date_obs_elab,resultat_obs_elab,date_prod,code_statut,libelle_statut,code_methode,libelle_methode,code_qualification,libelle_qualification,longitude,latitude,grandeur_hydro_elab
A3430210,A343021001,2007-01-01,969.0,2025-06-18T09:39:37Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,QINM
A3430210,A343021001,2007-02-01,1129.0,2025-06-18T09:39:37Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,QINM
A3430210,A343021001,2007-03-01,1058.0,2025-06-18T09:39:37Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,QINM
A3430210,A343021001,2007-04-01,515.0,2025-06-18T09:39:37Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,QINM
A3430210,A343021001,2007-05-01,402.0,2025-06-18T09:39:37Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,QINM
A3430210,A343021001,2007-06-01,388.0,2025-06-18T09:39:37Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,QINM
A3430210,A343021001,2007-07-01,407.0,2025-06-18T09:39:37Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,QINM
A3430210,A343021001,2007-08-01,457.0,2025-06-18T09:39:37Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,QINM
A3430210,A343021001,2007-09-01,414.0,2025-06-18T09:39:37Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,QINM
A3430210,A343021001,2007-10-01,367.0,2025-06-18T09:39:37Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,QINM
A3430210,A343021001,2007-11-01,472.0,2025-06-18T09:39:37Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,QINM
A3430210,A343021001,2007-12-01,495.0,2025-06-18T09:39:37Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,QINM
A3430210,A343021001,2008-01-01,477.0,2025-06-18T09:39:37Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,QINM
A3430210,A343021001,2008-02-01,686.0,2025-06-18T09:39:37Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,QINM
