code_site,code_station,date_obs_elab,resultat_obs_elab,date_prod,code_statut,libelle_statut,code_methode,libelle_methode,code_qualification,libelle_qualification,longitude,latitude,grandeur_hydro_elab
A3430210,A343021001,2007-01-01,1585.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,20.0,Bonne,7.310495367,48.799588457,QmM
A3430210,A343021001,2007-02-01,2592.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,20.0,Bonne,7.310495367,48.799588457,QmM
A3430210,A343021001,2007-03-01,,2025-07-10T21:45:09Z,,,,,,,7.310495367,48.799588457,QmM
A3430210,A343021001,2007-04-01,891.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,20.0,Bonne,7.310495367,48.799588457,QmM
A3430210,A343021001,2007-05-01,746.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,20.0,Bonne,7.310495367,48.799588457,QmM
A3430210,A343021001,2007-06-01,446.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,20.0,Bonne,7.310495367,48.799588457,QmM
A3430210,A343021001,2007-07-01,711.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,20.0,Bonne,7.310495367,48.799588457,QmM
A3430210,A343021001,2007-08-01,1065.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,20.0,Bonne,7.310495367,48.799588457,QmM
A3430210,A343021001,2007-09-01,464.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,20.0,Bonne,7.310495367,48.799588457,QmM
A3430210,A343021001,2007-10-01,420.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,20.0,Bonne,7.310495367,48.799588457,QmM
A3430210,A343021001,2007-11-01,738.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,20.0,Bonne,7.310495367,48.799588457,QmM
A3430210,A343021001,2007-12-01,1405.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,20.0,Bonne,7.310495367,48.799588457,QmM
A3430210,A343021001,2008-01-01,1187.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,20.0,Bonne,7.310495367,48.799588457,QmM
A3430210,A343021001,2008-02-01,1300.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,20.0,Bonne,7.310495367,48.799588457,QmM
A3430210,A343021001,2008-03-01,2059.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,20.0,Bonne,7.310495367,48.799588457,QmM
A3430210,A343021001,2008-04-01,1391.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,20.0,Bonne,7.310495367,48.799588457,QmM
A3430210,A343021001,2008-05-01,585.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,20.0,Bonne,7.310495367,48.799588457,QmM
A3430210,A343021001,2008-06-01,415.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,20.0,Bonne,7.310495367,48.799588457,QmM
A3430210,A343021001,2008-07-01,306.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,20.0,Bonne,7.310495367,48.799588457,QmM
A3430210,A343021001,2008-08-01,313.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,20.0,Bonne,7.310495367,48.799588457,QmM
A3430210,A343021001,2008-09-01,340.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,20.0,Bonne,7.310495367,48.799588457,QmM
A3430210,A343021001,2008-10-01,494.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,20.0,Bonne,7.310495367,48.799588457,QmM
A3430210,A343021001,2008-11-01,524.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,20.0,Bonne,7.310495367,48.799588457,QmM
A3430210,A343021001,2008-12-01,720.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,20.0,Bonne,7.310495367,48.799588457,QmM
A3430210,A343021001,2009-01-01,533.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,20.0,Bonne,7.310495367,48.799588457,QmM
A3430210,A343021001,2009-02-01,1383.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,20.0,Bonne,7.310495367,48.799588457,QmM
A3430210,A343021001,2009-03-01,1750.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,20.0,Bonne,7.310495367,48.799588457,QmM
A3430210,A343021001,2009-04-01,804.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,20.0,Bonne,7.310495367,48.799588457,QmM
A3430210,A343021001,2009-05-01,554.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,20.0,Bonne,7.310495367,48.799588457,QmM
A3430210,A343021001,2009-06-01,420.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,20.0,Bonne,7.310495367,48.799588457,QmM
A3430210,A343021001,2009-07-01,482.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,20.0,Bonne,7.310495367,48.799588457,QmM
A3430210,A343021001,2009-08-01,322.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,20.0,Bonne,7.310495367,48.799588457,QmM
A3430210,A343021001,2009-09-01,283.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,20.0,Bonne,7.310495367,48.799588457,QmM
A3430210,A343021001,2009-10-01,393.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,20.0,Bonne,7.310495367,48.799588457,QmM
A3430210,A343021001,2009-11-01,612.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,20.0,Bonne,7.310495367,48.799588457,QmM
A3430210,A343021001,2009-12-01,1733.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,12.0,Douteuse,7.310495367,48.799588457,QmM
A3430210,A343021001,2010-01-01,1399.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,20.0,Bonne,7.310495367,48.799588457,QmM
A3430210,A343021001,2010-02-01,2075.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,20.0,Bonne,7.310495367,48.799588457,QmM
A3430210,A343021001,2010-03-01,966.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,20.0,Bonne,7.310495367,48.799588457,QmM
A3430210,A343021001,2010-04-01,658.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,20.0,Bonne,7.310495367,48.799588457,QmM
A3430210,A343021001,2010-05-01,608.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,20.0,Bonne,7.310495367,48.799588457,QmM
A3430210,A343021001,2010-06-01,884.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,20.0,Bonne,7.310495367,48.799588457,QmM
A3430210,A343021001,2010-07-01,445.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,20.0,Bonne,7.310495367,48.799588457,QmM
A3430210,A343021001,2010-08-01,797.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,20.0,Bonne,7.310495367,48.799588457,QmM
A3430210,A343021001,2010-09-01,626.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,20.0,Bonne,7.310495367,48.799588457,QmM
A3430210,A343021001,2010-10-01,644.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,20.0,Bonne,7.310495367,48.799588457,QmM
A3430210,A343021001,2010-11-01,1498.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,20.0,Bonne,7.310495367,48.799588457,QmM
A3430210,A343021001,2010-12-01,3678.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,12.0,Douteuse,7.310495367,48.799588457,QmM
A3430210,A343021001,2011-01-01,2257.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,20.0,Bonne,7.310495367,48.799588457,QmM
A3430210,A343021001,2011-02-01,786.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,20.0,Bonne,7.310495367,48.799588457,QmM
A3430210,A343021001,2011-03-01,539.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,20.0,Bonne,7.310495367,48.799588457,QmM
A3430210,A343021001,2011-04-01,402.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,20.0,Bonne,7.310495367,48.799588457,QmM
A3430210,A343021001,2011-05-01,324.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,12.0,Douteuse,7.310495367,48.799588457,QmM
A3430210,A343021001,2011-06-01,314.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,12.0,Douteuse,7.310495367,48.799588457,QmM
A3430210,A343021001,2011-07-01,368.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,12.0,Douteuse,7.310495367,48.799588457,QmM
A3430210,A343021001,2011-08-01,319.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,12.0,Douteuse,7.310495367,48.799588457,QmM
A3430210,A343021001,2011-09-01,310.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,12.0,Douteuse,7.310495367,48.799588457,QmM
A3430210,A343021001,2011-10-01,428.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,12.0,Douteuse,7.310495367,48.799588457,QmM
A3430210,A343021001,2011-11-01,430.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,20.0,Bonne,7.310495367,48.799588457,QmM
A3430210,A343021001,2011-12-01,1185.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,20.0,Bonne,7.310495367,48.799588457,QmM
A3430210,A343021001,2012-01-01,1814.0,2026-05-31T16:26:50Z,16.0,Donnée validée,8.0,Calculée,12.0,Douteuse,7.310495367,48.799588457,QmM
A3430210,A343021001,2012-02-01,676.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,20.0,Bonne,7.310495367,48.799588457,QmM
A3430210,A343021001,2012-03-01,489.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,20.0,Bonne,7.310495367,48.799588457,QmM
A3430210,A343021001,2012-04-01,404.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,20.0,Bonne,7.310495367,48.799588457,QmM
A3430210,A343021001,2012-05-01,483.0,2026-05-31T16:26:50Z,16.0,Donnée validée,8.0,Calculée,12.0,Douteuse,7.310495367,48.799588457,QmM
A3430210,A343021001,2012-06-01,718.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,20.0,Bonne,7.310495367,48.799588457,QmM
A3430210,A343021001,2012-07-01,483.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,20.0,Bonne,7.310495367,48.799588457,QmM
A3430210,A343021001,2012-08-01,318.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,20.0,Bonne,7.310495367,48.799588457,QmM
A3430210,A343021001,2012-09-01,387.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,20.0,Bonne,7.310495367,48.799588457,QmM
A3430210,A343021001,2012-10-01,380.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,20.0,Bonne,7.310495367,48.799588457,QmM
A3430210,A343021001,2012-11-01,967.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,20.0,Bonne,7.310495367,48.799588457,QmM
A3430210,A343021001,2012-12-01,2860.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,20.0,Bonne,7.310495367,48.799588457,QmM
A3430210,A343021001,2013-01-01,1535.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,20.0,Bonne,7.310495367,48.799588457,QmM
A3430210,A343021001,2013-02-01,2662.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,12.0,Douteuse,7.310495367,48.799588457,QmM
A3430210,A343021001,2013-03-01,1356.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,20.0,Bonne,7.310495367,48.799588457,QmM
A3430210,A343021001,2013-04-01,1032.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,20.0,Bonne,7.310495367,48.799588457,QmM
A3430210,A343021001,2013-05-01,2339.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,12.0,Douteuse,7.310495367,48.799588457,QmM
A3430210,A343021001,2013-06-01,963.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,20.0,Bonne,7.310495367,48.799588457,QmM
A3430210,A343021001,2013-07-01,426.0,2026-05-31T16:26:50Z,16.0,Donnée validée,10.0,Expertisée,20.0,Bonne,7.310495367,48.799588457,QmM
