code_site,code_station,date_obs_elab,resultat_obs_elab,date_prod,code_statut,libelle_statut,code_methode,libelle_methode,code_qualification,libelle_qualification,longitude,latitude,grandeur_hydro_elab
A2140100,A214010001,2007-01-01,20680.0,2026-06-01T02:36:32Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,QIXnJ
A2140100,A214010001,2007-01-02,11950.0,2026-06-01T02:36:32Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,QIXnJ
A2140100,A214010001,2007-01-03,11110.0,2026-06-01T02:36:32Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,QIXnJ
A2140100,A214010001,2007-01-04,12613.0,2026-06-01T02:36:32Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,QIXnJ
A2140100,A214010001,2007-01-05,12640.0,2026-06-01T02:36:32Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,QIXnJ
A2140100,A214010001,2007-01-06,12160.0,2026-06-01T02:36:32Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,QIXnJ
A2140100,A214010001,2007-01-07,20653.0,2026-06-01T02:36:32Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,QIXnJ
A2140100,A214010001,2007-01-08,22343.0,2026-06-01T02:36:32Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,QIXnJ
A2140100,A214010001,2007-01-09,21314.0,2026-06-01T02:36:32Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,QIXnJ
A2140100,A214010001,2007-01-10,19806.0,2026-06-01T02:36:32Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,QIXnJ
A2140100,A214010001,2007-01-11,22571.0,2026-06-01T02:36:32Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,QIXnJ
A2140100,A214010001,2007-01-12,26743.0,2026-06-01T02:36:32Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,QIXnJ
A2140100,A214010001,2007-01-13,17882.0,2026-06-01T02:36:32Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,QIXnJ
A2140100,A214010001,2007-01-14,16147.0,2026-06-01T02:36:32Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,QIXnJ
A2140100,A214010001,2007-01-15,14430.0,2026-06-01T02:36:32Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,QIXnJ
A2140100,A214010001,2007-01-16,12699.0,2026-06-01T02:36:32Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,QIXnJ
A2140100,A214010001,2007-01-17,11298.0,2026-06-01T02:36:32Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,QIXnJ
