code_site,code_station,date_obs_elab,resultat_obs_elab,date_prod,code_statut,libelle_statut,code_methode,libelle_methode,code_qualification,libelle_qualification,longitude,latitude,grandeur_hydro_elab
A2140100,A214010001,2007-01-01,17899.0,2026-05-31T14:59:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,QmM
A2140100,A214010001,2007-02-01,14651.0,2026-05-31T14:59:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,QmM
A2140100,A214010001,2007-03-01,17395.0,2026-05-31T14:59:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,QmM
A2140100,A214010001,2007-04-01,5396.0,2026-05-31T14:59:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,QmM
A2140100,A214010001,2007-05-01,4614.0,2026-05-31T14:59:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,QmM
A2140100,A214010001,2007-06-01,7517.0,2026-05-31T14:59:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,QmM
A2140100,A214010001,2007-07-01,6525.0,2026-05-31T14:59:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,QmM
A2140100,A214010001,2007-08-01,4971.0,2026-05-31T14:59:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,QmM
A2140100,A214010001,2007-09-01,2587.0,2026-05-31T14:59:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,QmM
A2140100,A214010001,2007-10-01,1902.0,2026-05-31T14:59:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,QmM
A2140100,A214010001,2007-11-01,5614.0,2026-05-31T14:59:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,QmM
A2140100,A214010001,2007-12-01,15795.0,2026-05-31T14:59:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,QmM
A2140100,A214010001,2008-01-01,10124.0,2026-05-31T14:59:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,QmM
A2140100,A214010001,2008-02-01,7044.0,2026-05-31T14:59:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,QmM
A2140100,A214010001,2008-03-01,13909.0,2026-05-31T14:59:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,QmM
A2140100,A214010001,2008-04-01,16255.0,2026-05-31T14:59:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,QmM
A2140100,A214010001,2008-05-01,5339.0,2026-05-31T14:59:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,QmM
A2140100,A214010001,2008-06-01,2921.0,2026-05-31T14:59:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,QmM
A2140100,A214010001,2008-07-01,1447.0,2026-05-31T14:59:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,QmM
A2140100,A214010001,2008-08-01,2767.0,2026-05-31T14:59:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,QmM
A2140100,A214010001,2008-09-01,3536.0,2026-05-31T14:59:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,QmM
A2140100,A214010001,2008-10-01,5027.0,2026-05-31T14:59:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,QmM
A2140100,A214010001,2008-11-01,6267.0,2026-05-31T14:59:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,QmM
A2140100,A214010001,2008-12-01,7530.0,2026-05-31T14:59:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,QmM
A2140100,A214010001,2009-01-01,5694.0,2026-05-31T14:59:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,QmM
A2140100,A214010001,2009-02-01,8350.0,2026-05-31T14:59:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,QmM
A2140100,A214010001,2009-03-01,10573.0,2026-05-31T14:59:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,QmM
A2140100,A214010001,2009-04-01,11231.0,2026-05-31T14:59:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,QmM
