code_site,code_station,date_obs_elab,resultat_obs_elab,date_prod,code_statut,libelle_statut,code_methode,libelle_methode,code_qualification,libelle_qualification,longitude,latitude,grandeur_hydro_elab
A3410200,A341020001,2007-01-01,1055.0,2026-06-01T16:42:12Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINM
A3410200,A341020001,2007-02-01,2370.0,2026-06-01T16:42:12Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINM
A3410200,A341020001,2007-03-01,2971.0,2026-06-01T16:42:12Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINM
A3410200,A341020001,2007-04-01,1124.0,2026-06-01T16:42:12Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINM
A3410200,A341020001,2007-05-01,1266.0,2026-06-01T16:42:12Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINM
A3410200,A341020001,2007-06-01,1342.0,2026-06-01T16:42:12Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINM
A3410200,A341020001,2007-07-01,1294.0,2026-06-01T16:42:12Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINM
A3410200,A341020001,2007-08-01,1148.0,2026-06-01T16:42:12Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINM
A3410200,A341020001,2007-09-01,1044.0,2026-06-01T16:42:12Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINM
A3410200,A341020001,2007-10-01,527.0,2026-06-01T16:42:12Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINM
A3410200,A341020001,2007-11-01,915.0,2026-06-01T16:42:12Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINM
A3410200,A341020001,2007-12-01,1370.0,2026-06-01T16:42:12Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINM
A3410200,A341020001,2008-01-01,1004.0,2026-06-01T16:42:12Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINM
A3410200,A341020001,2008-02-01,1819.0,2026-06-01T16:42:12Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINM
A3410200,A341020001,2008-03-01,2603.0,2026-06-01T16:42:12Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINM
A3410200,A341020001,2008-04-01,3349.0,2026-06-01T16:42:12Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINM
A3410200,A341020001,2008-05-01,1199.0,2026-06-01T16:42:12Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINM
A3410200,A341020001,2008-06-01,996.0,2026-06-01T16:42:12Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINM
A3410200,A341020001,2008-07-01,648.0,2026-06-01T16:42:12Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINM
A3410200,A341020001,2008-08-01,797.0,2026-06-01T16:42:12Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINM
A3410200,A341020001,2008-09-01,733.0,2026-06-01T16:42:12Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINM
A3410200,A341020001,2008-10-01,683.0,2026-06-01T16:42:12Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINM
A3410200,A341020001,2008-11-01,541.0,2026-06-01T16:42:12Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINM
A3410200,A341020001,2008-12-01,548.0,2026-06-01T16:42:12Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINM
A3410200,A341020001,2009-01-01,923.0,2026-06-01T16:42:12Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINM
A3410200,A341020001,2009-02-01,987.0,2026-06-01T16:42:12Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINM
A3410200,A341020001,2009-03-01,2477.0,2026-06-01T16:42:12Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINM
A3410200,A341020001,2009-04-01,1523.0,2026-06-01T16:42:12Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINM
A3410200,A341020001,2009-05-01,755.0,2026-06-01T16:42:12Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINM
A3410200,A341020001,2009-06-01,714.0,2026-06-01T16:42:12Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINM
A3410200,A341020001,2009-07-01,823.0,2026-06-01T16:42:12Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINM
A3410200,A341020001,2009-08-01,819.0,2026-06-01T16:42:12Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINM
A3410200,A341020001,2009-09-01,616.0,2026-06-01T16:42:12Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINM
A3410200,A341020001,2009-10-01,471.0,2026-06-01T16:42:12Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINM
A3410200,A341020001,2009-11-01,747.0,2026-06-01T16:42:12Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINM
A3410200,A341020001,2009-12-01,405.0,2026-06-01T16:42:12Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINM
A3410200,A341020001,2010-01-01,931.0,2026-06-01T16:42:12Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINM
A3410200,A341020001,2010-02-01,1447.0,2026-06-01T16:42:12Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINM
A3410200,A341020001,2010-03-01,1713.0,2026-06-01T16:42:12Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINM
A3410200,A341020001,2010-04-01,1076.0,2026-06-01T16:42:12Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINM
