code_site,code_station,date_obs_elab,resultat_obs_elab,date_prod,code_statut,libelle_statut,code_methode,libelle_methode,code_qualification,libelle_qualification,longitude,latitude,grandeur_hydro_elab
A3410200,A341020001,2007-01-01,1055.0,2026-06-01T10:12:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINnJ
A3410200,A341020001,2007-01-02,1770.0,2026-06-01T10:12:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINnJ
A3410200,A341020001,2007-01-03,2434.0,2026-06-01T10:12:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINnJ
A3410200,A341020001,2007-01-04,2322.0,2026-06-01T10:12:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINnJ
A3410200,A341020001,2007-01-05,2069.0,2026-06-01T10:12:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINnJ
A3410200,A341020001,2007-01-06,2051.0,2026-06-01T10:12:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINnJ
A3410200,A341020001,2007-01-07,2178.0,2026-06-01T10:12:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINnJ
A3410200,A341020001,2007-01-08,2167.0,2026-06-01T10:12:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINnJ
A3410200,A341020001,2007-01-09,2246.0,2026-06-01T10:12:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINnJ
A3410200,A341020001,2007-01-10,1896.0,2026-06-01T10:12:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINnJ
A3410200,A341020001,2007-01-11,1935.0,2026-06-01T10:12:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINnJ
A3410200,A341020001,2007-01-12,2479.0,2026-06-01T10:12:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINnJ
A3410200,A341020001,2007-01-13,2341.0,2026-06-01T10:12:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINnJ
A3410200,A341020001,2007-01-14,2066.0,2026-06-01T10:12:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINnJ
A3410200,A341020001,2007-01-15,1590.0,2026-06-01T10:12:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINnJ
A3410200,A341020001,2007-01-16,1999.0,2026-06-01T10:12:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINnJ
A3410200,A341020001,2007-01-17,1694.0,2026-06-01T10:12:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINnJ
A3410200,A341020001,2007-01-18,2003.0,2026-06-01T10:12:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINnJ
A3410200,A341020001,2007-01-19,3660.0,2026-06-01T10:12:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINnJ
A3410200,A341020001,2007-01-20,3066.0,2026-06-01T10:12:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINnJ
A3410200,A341020001,2007-01-21,4036.0,2026-06-01T10:12:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINnJ
A3410200,A341020001,2007-01-22,4336.0,2026-06-01T10:12:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINnJ
A3410200,A341020001,2007-01-23,4205.0,2026-06-01T10:12:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINnJ
A3410200,A341020001,2007-01-24,3856.0,2026-06-01T10:12:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINnJ
A3410200,A341020001,2007-01-25,3402.0,2026-06-01T10:12:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINnJ
A3410200,A341020001,2007-01-26,3175.0,2026-06-01T10:12:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINnJ
A3410200,A341020001,2007-01-27,2419.0,2026-06-01T10:12:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINnJ
A3410200,A341020001,2007-01-28,2827.0,2026-06-01T10:12:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINnJ
A3410200,A341020001,2007-01-29,3318.0,2026-06-01T10:12:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINnJ
A3410200,A341020001,2007-01-30,3135.0,2026-06-01T10:12:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINnJ
A3410200,A341020001,2007-01-31,2738.0,2026-06-01T10:12:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINnJ
A3410200,A341020001,2007-02-01,2696.0,2026-06-01T10:12:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINnJ
A3410200,A341020001,2007-02-02,2593.0,2026-06-01T10:12:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINnJ
A3410200,A341020001,2007-02-03,2370.0,2026-06-01T10:12:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINnJ
A3410200,A341020001,2007-02-04,2465.0,2026-06-01T10:12:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINnJ
A3410200,A341020001,2007-02-05,2513.0,2026-06-01T10:12:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINnJ
A3410200,A341020001,2007-02-06,2861.0,2026-06-01T10:12:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINnJ
A3410200,A341020001,2007-02-07,2738.0,2026-06-01T10:12:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINnJ
A3410200,A341020001,2007-02-08,3665.0,2026-06-01T10:12:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINnJ
A3410200,A341020001,2007-02-09,3264.0,2026-06-01T10:12:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINnJ
A3410200,A341020001,2007-02-10,3117.0,2026-06-01T10:12:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINnJ
A3410200,A341020001,2007-02-11,3099.0,2026-06-01T10:12:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINnJ
A3410200,A341020001,2007-02-12,6674.0,2026-06-01T10:12:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINnJ
A3410200,A341020001,2007-02-13,5581.0,2026-06-01T10:12:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINnJ
A3410200,A341020001,2007-02-14,5449.0,2026-06-01T10:12:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINnJ
A3410200,A341020001,2007-02-15,5487.0,2026-06-01T10:12:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINnJ
A3410200,A341020001,2007-02-16,4966.0,2026-06-01T10:12:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINnJ
A3410200,A341020001,2007-02-17,5132.0,2026-06-01T10:12:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINnJ
A3410200,A341020001,2007-02-18,4683.0,2026-06-01T10:12:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINnJ
A3410200,A341020001,2007-02-19,3958.0,2026-06-01T10:12:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINnJ
A3410200,A341020001,2007-02-20,4055.0,2026-06-01T10:12:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINnJ
A3410200,A341020001,2007-02-21,3783.0,2026-06-01T10:12:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINnJ
A3410200,A341020001,2007-02-22,3599.0,2026-06-01T10:12:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINnJ
A3410200,A341020001,2007-02-23,3284.0,2026-06-01T10:12:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINnJ
A3410200,A341020001,2007-02-24,3345.0,2026-06-01T10:12:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINnJ
A3410200,A341020001,2007-02-25,3403.0,2026-06-01T10:12:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINnJ
A3410200,A341020001,2007-02-26,4011.0,2026-06-01T10:12:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINnJ
A3410200,A341020001,2007-02-27,3708.0,2026-06-01T10:12:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINnJ
A3410200,A341020001,2007-02-28,3782.0,2026-06-01T10:12:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINnJ
A3410200,A341020001,2007-03-01,12293.0,2026-06-01T10:12:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINnJ
A3410200,A341020001,2007-03-02,11705.0,2026-06-01T10:12:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINnJ
A3410200,A341020001,2007-03-03,9986.0,2026-06-01T10:12:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINnJ
A3410200,A341020001,2007-03-04,8195.0,2026-06-01T10:12:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINnJ
A3410200,A341020001,2007-03-05,7037.0,2026-06-01T10:12:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINnJ
A3410200,A341020001,2007-03-06,6597.0,2026-06-01T10:12:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINnJ
A3410200,A341020001,2007-03-07,6325.0,2026-06-01T10:12:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINnJ
A3410200,A341020001,2007-03-08,5147.0,2026-06-01T10:12:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINnJ
A3410200,A341020001,2007-03-09,3708.0,2026-06-01T10:12:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINnJ
A3410200,A341020001,2007-03-10,4263.0,2026-06-01T10:12:53Z,16,Donnée validée,10,Expertisée,20,Bonne,7.332793134,48.728811149,QINnJ
