code_site,code_station,date_obs_elab,resultat_obs_elab,date_prod,code_statut,libelle_statut,code_methode,libelle_methode,code_qualification,libelle_qualification,longitude,latitude,grandeur_hydro_elab
A2350200,A235020001,2007-01-01,828.0,2026-06-01T17:10:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QINM
A2350200,A235020001,2007-02-01,4054.0,2026-06-01T17:10:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QINM
A2350200,A235020001,2007-03-01,3709.0,2026-06-01T17:10:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QINM
A2350200,A235020001,2007-04-01,747.0,2026-06-01T17:10:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QINM
A2350200,A235020001,2007-05-01,661.0,2026-06-01T17:10:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QINM
A2350200,A235020001,2007-06-01,709.0,2026-06-01T17:10:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QINM
A2350200,A235020001,2007-07-01,723.0,2026-06-01T17:10:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QINM
A2350200,A235020001,2007-08-01,534.0,2026-06-01T17:10:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QINM
A2350200,A235020001,2007-09-01,412.0,2026-06-01T17:10:42Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.45981862,48.271832622,QINM
A2350200,A235020001,2007-10-01,268.0,2026-06-01T17:10:42Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.45981862,48.271832622,QINM
A2350200,A235020001,2007-11-01,254.0,2026-06-01T17:10:42Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.45981862,48.271832622,QINM
A2350200,A235020001,2007-12-01,1769.0,2026-06-01T17:10:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QINM
A2350200,A235020001,2008-01-01,1543.0,2026-06-01T17:10:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QINM
A2350200,A235020001,2008-02-01,1222.0,2026-06-01T17:10:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QINM
A2350200,A235020001,2008-03-01,1889.0,2026-06-01T17:10:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QINM
A2350200,A235020001,2008-04-01,3506.0,2026-06-01T17:10:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QINM
A2350200,A235020001,2008-05-01,333.0,2026-06-01T17:10:42Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.45981862,48.271832622,QINM
A2350200,A235020001,2008-06-01,364.0,2026-06-01T17:10:42Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.45981862,48.271832622,QINM
A2350200,A235020001,2008-07-01,102.0,2026-06-01T17:10:42Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.45981862,48.271832622,QINM
A2350200,A235020001,2008-08-01,87.0,2026-06-01T17:10:42Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.45981862,48.271832622,QINM
A2350200,A235020001,2008-09-01,194.0,2026-06-01T17:10:42Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.45981862,48.271832622,QINM
A2350200,A235020001,2008-10-01,374.0,2026-06-01T17:10:42Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.45981862,48.271832622,QINM
A2350200,A235020001,2008-11-01,832.0,2026-06-01T17:10:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QINM
A2350200,A235020001,2008-12-01,1365.0,2026-06-01T17:10:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QINM
A2350200,A235020001,2009-01-01,770.0,2026-06-01T17:10:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QINM
A2350200,A235020001,2009-02-01,825.0,2026-06-01T17:10:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QINM
A2350200,A235020001,2009-03-01,2018.0,2026-06-01T17:10:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QINM
A2350200,A235020001,2009-04-01,609.0,2026-06-01T17:10:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QINM
A2350200,A235020001,2009-05-01,336.0,2026-06-01T17:10:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QINM
A2350200,A235020001,2009-06-01,118.0,2026-06-01T17:10:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QINM
A2350200,A235020001,2009-07-01,100.0,2026-06-01T17:10:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QINM
A2350200,A235020001,2009-08-01,153.0,2026-06-01T17:10:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QINM
A2350200,A235020001,2009-09-01,92.0,2026-06-01T17:10:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QINM
A2350200,A235020001,2009-10-01,61.0,2026-06-01T17:10:42Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.45981862,48.271832622,QINM
A2350200,A235020001,2009-11-01,254.0,2026-06-01T17:10:42Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.45981862,48.271832622,QINM
A2350200,A235020001,2009-12-01,740.0,2026-06-01T17:10:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QINM
A2350200,A235020001,2010-01-01,1398.0,2026-06-01T17:10:42Z,16,Donnée validée,4,Reconstituée,20,Bonne,7.45981862,48.271832622,QINM
A2350200,A235020001,2010-02-01,1379.0,2026-06-01T17:10:42Z,16,Donnée validée,4,Reconstituée,20,Bonne,7.45981862,48.271832622,QINM
A2350200,A235020001,2010-03-01,2358.0,2026-06-01T17:10:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QINM
A2350200,A235020001,2010-04-01,395.0,2026-06-01T17:10:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QINM
A2350200,A235020001,2010-05-01,357.0,2026-06-01T17:10:42Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.45981862,48.271832622,QINM
A2350200,A235020001,2010-06-01,254.0,2026-06-01T17:10:42Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.45981862,48.271832622,QINM
A2350200,A235020001,2010-07-01,81.0,2026-06-01T17:10:42Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.45981862,48.271832622,QINM
A2350200,A235020001,2010-08-01,158.0,2026-06-01T17:10:42Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.45981862,48.271832622,QINM
A2350200,A235020001,2010-09-01,334.0,2026-06-01T17:10:42Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.45981862,48.271832622,QINM
A2350200,A235020001,2010-10-01,183.0,2026-06-01T17:10:42Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.45981862,48.271832622,QINM
A2350200,A235020001,2010-11-01,339.0,2026-06-01T17:10:42Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.45981862,48.271832622,QINM
A2350200,A235020001,2010-12-01,1214.0,2026-06-01T17:10:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QINM
A2350200,A235020001,2011-01-01,2133.0,2026-06-01T17:10:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QINM
A2350200,A235020001,2011-02-01,1093.0,2026-06-01T17:10:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QINM
A2350200,A235020001,2011-03-01,748.0,2026-06-01T17:10:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QINM
A2350200,A235020001,2011-04-01,370.0,2026-06-01T17:10:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QINM
A2350200,A235020001,2011-05-01,112.0,2026-06-01T17:10:42Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.45981862,48.271832622,QINM
A2350200,A235020001,2011-06-01,125.0,2026-06-01T17:10:42Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.45981862,48.271832622,QINM
A2350200,A235020001,2011-07-01,196.0,2026-06-01T17:10:42Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.45981862,48.271832622,QINM
A2350200,A235020001,2011-08-01,206.0,2026-06-01T17:10:42Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.45981862,48.271832622,QINM
A2350200,A235020001,2011-09-01,154.0,2026-06-01T17:10:42Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.45981862,48.271832622,QINM
A2350200,A235020001,2011-10-01,154.0,2026-06-01T17:10:42Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.45981862,48.271832622,QINM
A2350200,A235020001,2011-11-01,113.0,2026-06-01T17:10:42Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.45981862,48.271832622,QINM
A2350200,A235020001,2011-12-01,118.0,2026-06-01T17:10:42Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.45981862,48.271832622,QINM
A2350200,A235020001,2012-01-01,4056.0,2026-06-01T17:10:42Z,16,Donnée validée,4,Reconstituée,20,Bonne,7.45981862,48.271832622,QINM
A2350200,A235020001,2012-02-01,2095.0,2026-06-01T17:10:42Z,16,Donnée validée,4,Reconstituée,20,Bonne,7.45981862,48.271832622,QINM
A2350200,A235020001,2012-03-01,1140.0,2026-06-01T17:10:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QINM
A2350200,A235020001,2012-04-01,881.0,2026-06-01T17:10:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QINM
A2350200,A235020001,2012-05-01,670.0,2026-06-01T17:10:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QINM
A2350200,A235020001,2012-06-01,192.0,2026-06-01T17:10:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QINM
A2350200,A235020001,2012-07-01,564.0,2026-06-01T17:10:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QINM
A2350200,A235020001,2012-08-01,62.0,2026-06-01T17:10:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QINM
A2350200,A235020001,2012-09-01,56.0,2026-06-01T17:10:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QINM
A2350200,A235020001,2012-10-01,249.0,2026-06-01T17:10:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QINM
A2350200,A235020001,2012-11-01,716.0,2026-06-01T17:10:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QINM
A2350200,A235020001,2012-12-01,2510.0,2026-06-01T17:10:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QINM
A2350200,A235020001,2013-01-01,2271.0,2026-06-01T17:10:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QINM
