code_site,code_station,date_obs_elab,resultat_obs_elab,date_prod,code_statut,libelle_statut,code_methode,libelle_methode,code_qualification,libelle_qualification,longitude,latitude,grandeur_hydro_elab
A2350200,A235020001,2007-01-01,6198.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmM
A2350200,A235020001,2007-02-01,7110.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmM
A2350200,A235020001,2007-03-01,7927.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmM
A2350200,A235020001,2007-04-01,2503.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmM
A2350200,A235020001,2007-05-01,2123.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmM
A2350200,A235020001,2007-06-01,1782.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmM
A2350200,A235020001,2007-07-01,2794.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmM
A2350200,A235020001,2007-08-01,1200.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmM
A2350200,A235020001,2007-09-01,741.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.45981862,48.271832622,QmM
A2350200,A235020001,2007-10-01,540.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.45981862,48.271832622,QmM
A2350200,A235020001,2007-11-01,2628.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.45981862,48.271832622,QmM
A2350200,A235020001,2007-12-01,6553.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmM
A2350200,A235020001,2008-01-01,4481.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmM
A2350200,A235020001,2008-02-01,2977.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmM
A2350200,A235020001,2008-03-01,6014.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmM
A2350200,A235020001,2008-04-01,6584.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmM
A2350200,A235020001,2008-05-01,1081.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.45981862,48.271832622,QmM
A2350200,A235020001,2008-06-01,895.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.45981862,48.271832622,QmM
A2350200,A235020001,2008-07-01,316.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.45981862,48.271832622,QmM
A2350200,A235020001,2008-08-01,516.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.45981862,48.271832622,QmM
A2350200,A235020001,2008-09-01,1038.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.45981862,48.271832622,QmM
A2350200,A235020001,2008-10-01,1082.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.45981862,48.271832622,QmM
A2350200,A235020001,2008-11-01,2182.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmM
A2350200,A235020001,2008-12-01,3425.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmM
A2350200,A235020001,2009-01-01,2041.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmM
A2350200,A235020001,2009-02-01,4048.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmM
A2350200,A235020001,2009-03-01,5869.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmM
A2350200,A235020001,2009-04-01,2113.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmM
A2350200,A235020001,2009-05-01,731.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmM
A2350200,A235020001,2009-06-01,386.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmM
A2350200,A235020001,2009-07-01,1233.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmM
A2350200,A235020001,2009-08-01,402.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmM
A2350200,A235020001,2009-09-01,162.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmM
A2350200,A235020001,2009-10-01,179.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.45981862,48.271832622,QmM
A2350200,A235020001,2009-11-01,837.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.45981862,48.271832622,QmM
A2350200,A235020001,2009-12-01,3925.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmM
A2350200,A235020001,2010-01-01,3701.0,2026-05-31T14:22:54Z,16,Donnée validée,8,Calculée,20,Bonne,7.45981862,48.271832622,QmM
A2350200,A235020001,2010-02-01,5337.0,2026-05-31T14:22:54Z,16,Donnée validée,8,Calculée,20,Bonne,7.45981862,48.271832622,QmM
A2350200,A235020001,2010-03-01,3471.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmM
A2350200,A235020001,2010-04-01,2065.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmM
A2350200,A235020001,2010-05-01,1093.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.45981862,48.271832622,QmM
A2350200,A235020001,2010-06-01,784.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.45981862,48.271832622,QmM
A2350200,A235020001,2010-07-01,236.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.45981862,48.271832622,QmM
A2350200,A235020001,2010-08-01,1697.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.45981862,48.271832622,QmM
A2350200,A235020001,2010-09-01,740.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.45981862,48.271832622,QmM
A2350200,A235020001,2010-10-01,570.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.45981862,48.271832622,QmM
A2350200,A235020001,2010-11-01,2566.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.45981862,48.271832622,QmM
A2350200,A235020001,2010-12-01,10416.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmM
A2350200,A235020001,2011-01-01,6486.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmM
A2350200,A235020001,2011-02-01,1584.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmM
A2350200,A235020001,2011-03-01,1040.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmM
A2350200,A235020001,2011-04-01,670.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmM
A2350200,A235020001,2011-05-01,228.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.45981862,48.271832622,QmM
A2350200,A235020001,2011-06-01,531.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.45981862,48.271832622,QmM
A2350200,A235020001,2011-07-01,713.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.45981862,48.271832622,QmM
A2350200,A235020001,2011-08-01,1107.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.45981862,48.271832622,QmM
A2350200,A235020001,2011-09-01,323.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.45981862,48.271832622,QmM
A2350200,A235020001,2011-10-01,485.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.45981862,48.271832622,QmM
A2350200,A235020001,2011-11-01,190.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.45981862,48.271832622,QmM
A2350200,A235020001,2011-12-01,8017.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.45981862,48.271832622,QmM
A2350200,A235020001,2012-01-01,12815.0,2026-05-31T14:22:54Z,16,Donnée validée,8,Calculée,20,Bonne,7.45981862,48.271832622,QmM
A2350200,A235020001,2012-02-01,2947.0,2026-05-31T14:22:54Z,16,Donnée validée,8,Calculée,20,Bonne,7.45981862,48.271832622,QmM
A2350200,A235020001,2012-03-01,1767.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmM
A2350200,A235020001,2012-04-01,1244.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmM
A2350200,A235020001,2012-05-01,1723.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmM
A2350200,A235020001,2012-06-01,758.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmM
A2350200,A235020001,2012-07-01,1049.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmM
A2350200,A235020001,2012-08-01,285.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmM
A2350200,A235020001,2012-09-01,253.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmM
A2350200,A235020001,2012-10-01,1652.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmM
A2350200,A235020001,2012-11-01,4725.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmM
A2350200,A235020001,2012-12-01,10859.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmM
A2350200,A235020001,2013-01-01,4999.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmM
A2350200,A235020001,2013-02-01,10542.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.45981862,48.271832622,QmM
A2350200,A235020001,2013-03-01,4253.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmM
A2350200,A235020001,2013-04-01,3911.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmM
A2350200,A235020001,2013-05-01,4668.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmM
A2350200,A235020001,2013-06-01,3603.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmM
A2350200,A235020001,2013-07-01,683.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmM
A2350200,A235020001,2013-08-01,479.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmM
A2350200,A235020001,2013-09-01,1438.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmM
A2350200,A235020001,2013-10-01,5661.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmM
A2350200,A235020001,2013-11-01,6610.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmM
A2350200,A235020001,2013-12-01,3475.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmM
A2350200,A235020001,2014-01-01,4665.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmM
A2350200,A235020001,2014-02-01,3730.0,2026-05-31T14:22:54Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmM
