code_site,code_station,date_obs_elab,resultat_obs_elab,date_prod,code_statut,libelle_statut,code_methode,libelle_methode,code_qualification,libelle_qualification,longitude,latitude,grandeur_hydro_elab
A3480200,A348020001,2007-01-01,3584.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-01-02,6662.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-01-03,7360.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-01-04,6547.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-01-05,6292.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-01-06,6137.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-01-07,6229.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-01-08,6032.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-01-09,5832.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-01-10,5638.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-01-11,5645.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-01-12,5999.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-01-13,6651.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-01-14,6204.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-01-15,5740.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-01-16,5550.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-01-17,5498.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-01-18,5524.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-01-19,6541.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-01-20,8806.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-01-21,8779.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-01-22,10722.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-01-23,9258.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-01-24,8959.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-01-25,7662.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-01-26,7011.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-01-27,6631.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-01-28,6583.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-01-29,7997.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-01-30,8563.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-01-31,7360.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-02-01,6806.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-02-02,6600.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-02-03,6439.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-02-04,6403.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-02-05,6396.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-02-06,6548.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-02-07,6985.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-02-08,8224.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-02-09,10271.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-02-10,8757.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-02-11,8542.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-02-12,19321.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-02-13,27918.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-02-14,18122.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-02-15,18594.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-02-16,14995.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-02-17,13318.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-02-18,10914.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-02-19,10464.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-02-20,9772.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-02-21,9078.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-02-22,8788.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-02-23,8384.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-02-24,8002.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-02-25,8599.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-02-26,9315.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-02-27,13459.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-02-28,13017.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-03-01,27788.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-03-02,54333.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-03-03,36978.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-03-04,27486.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-03-05,20926.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-03-06,17549.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-03-07,15792.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-03-08,13403.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-03-09,11784.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-03-10,11795.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-03-11,10452.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-03-12,9995.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-03-13,9497.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-03-14,8923.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-03-15,8586.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-03-16,8115.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-03-17,7622.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-03-18,7684.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-03-19,9037.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-03-20,9100.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-03-21,7638.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-03-22,7657.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-03-23,8715.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-03-24,17393.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-03-25,14992.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-03-26,15197.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-03-27,12457.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-03-28,11259.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-03-29,10859.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-03-30,11347.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-03-31,14403.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-04-01,18529.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-04-02,14101.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-04-03,12056.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-04-04,11653.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-04-05,10201.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-04-06,9444.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-04-07,8894.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-04-08,7881.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-04-09,7519.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-04-10,7072.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-04-11,6801.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-04-12,6659.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-04-13,6372.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-04-14,6322.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-04-15,5998.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-04-16,4119.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-04-17,5553.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-04-18,5278.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-04-19,4980.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-04-20,5245.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-04-21,5060.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-04-22,4835.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-04-23,4638.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-04-24,4341.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-04-25,4686.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-04-26,4070.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-04-27,3791.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-04-28,4017.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-04-29,4137.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-04-30,4125.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-05-01,4314.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-05-02,3887.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-05-03,3839.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-05-04,3786.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-05-05,3842.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-05-06,3691.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-05-07,3640.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-05-08,3644.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-05-09,9155.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-05-10,6548.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-05-11,5089.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-05-12,5304.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-05-13,4816.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-05-14,4861.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-05-15,9241.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-05-16,6521.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-05-17,6374.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-05-18,6762.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
A3480200,A348020001,2007-05-19,6128.0,2026-06-01T12:23:42Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINnJ
