code_site,code_station,date_obs_elab,resultat_obs_elab,date_prod,code_statut,libelle_statut,code_methode,libelle_methode,code_qualification,libelle_qualification,longitude,latitude,grandeur_hydro_elab
A3480200,A348020001,2007-01-01,6664.0,2026-06-01T02:17:44Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QIXnJ
A3480200,A348020001,2007-01-02,9237.0,2026-06-01T02:17:44Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QIXnJ
A3480200,A348020001,2007-01-03,9811.0,2026-06-01T02:17:44Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QIXnJ
A3480200,A348020001,2007-01-04,7360.0,2026-06-01T02:17:44Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QIXnJ
A3480200,A348020001,2007-01-05,6547.0,2026-06-01T02:17:44Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QIXnJ
A3480200,A348020001,2007-01-06,6292.0,2026-06-01T02:17:44Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QIXnJ
A3480200,A348020001,2007-01-07,6306.0,2026-06-01T02:17:44Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QIXnJ
A3480200,A348020001,2007-01-08,6232.0,2026-06-01T02:17:44Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QIXnJ
A3480200,A348020001,2007-01-09,6032.0,2026-06-01T02:17:44Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QIXnJ
A3480200,A348020001,2007-01-10,5832.0,2026-06-01T02:17:44Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QIXnJ
A3480200,A348020001,2007-01-11,5999.0,2026-06-01T02:17:44Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QIXnJ
A3480200,A348020001,2007-01-12,10122.0,2026-06-01T02:17:44Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QIXnJ
A3480200,A348020001,2007-01-13,9581.0,2026-06-01T02:17:44Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QIXnJ
A3480200,A348020001,2007-01-14,6651.0,2026-06-01T02:17:44Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QIXnJ
A3480200,A348020001,2007-01-15,6204.0,2026-06-01T02:17:44Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QIXnJ
A3480200,A348020001,2007-01-16,5740.0,2026-06-01T02:17:44Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QIXnJ
A3480200,A348020001,2007-01-17,5550.0,2026-06-01T02:17:44Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QIXnJ
A3480200,A348020001,2007-01-18,6541.0,2026-06-01T02:17:44Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QIXnJ
A3480200,A348020001,2007-01-19,12951.0,2026-06-01T02:17:44Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QIXnJ
