code_site,code_station,date_obs_elab,resultat_obs_elab,date_prod,code_statut,libelle_statut,code_methode,libelle_methode,code_qualification,libelle_qualification,longitude,latitude,grandeur_hydro_elab
A3480200,A348020001,2007-01-01,7625.0,2026-05-31T14:50:01Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QmM
A3480200,A348020001,2007-02-01,12605.0,2026-05-31T14:50:01Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QmM
A3480200,A348020001,2007-03-01,17526.0,2026-05-31T14:50:01Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QmM
A3480200,A348020001,2007-04-01,7479.0,2026-05-31T14:50:01Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QmM
A3480200,A348020001,2007-05-01,6029.0,2026-05-31T14:50:01Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QmM
A3480200,A348020001,2007-06-01,5005.0,2026-05-31T14:50:01Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QmM
A3480200,A348020001,2007-07-01,5799.0,2026-05-31T14:50:01Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QmM
A3480200,A348020001,2007-08-01,6878.0,2026-05-31T14:50:01Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QmM
A3480200,A348020001,2007-09-01,3414.0,2026-05-31T14:50:01Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QmM
A3480200,A348020001,2007-10-01,2827.0,2026-05-31T14:50:01Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QmM
A3480200,A348020001,2007-11-01,4382.0,2026-05-31T14:50:01Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QmM
A3480200,A348020001,2007-12-01,8928.0,2026-05-31T14:50:01Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QmM
A3480200,A348020001,2008-01-01,7305.0,2026-05-31T14:50:01Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QmM
A3480200,A348020001,2008-02-01,7840.0,2026-05-31T14:50:01Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QmM
A3480200,A348020001,2008-03-01,11186.0,2026-05-31T14:50:01Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QmM
A3480200,A348020001,2008-04-01,9820.0,2026-05-31T14:50:01Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QmM
A3480200,A348020001,2008-05-01,5036.0,2026-05-31T14:50:01Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QmM
A3480200,A348020001,2008-06-01,4532.0,2026-05-31T14:50:01Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QmM
A3480200,A348020001,2008-07-01,2919.0,2026-05-31T14:50:01Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QmM
A3480200,A348020001,2008-08-01,2650.0,2026-05-31T14:50:01Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QmM
A3480200,A348020001,2008-09-01,2472.0,2026-05-31T14:50:01Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QmM
A3480200,A348020001,2008-10-01,2894.0,2026-05-31T14:50:01Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QmM
A3480200,A348020001,2008-11-01,3218.0,2026-05-31T14:50:01Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QmM
A3480200,A348020001,2008-12-01,3932.0,2026-05-31T14:50:01Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QmM
A3480200,A348020001,2009-01-01,3578.0,2026-05-31T14:50:01Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QmM
A3480200,A348020001,2009-02-01,7411.0,2026-05-31T14:50:01Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QmM
A3480200,A348020001,2009-03-01,12521.0,2026-05-31T14:50:01Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QmM
A3480200,A348020001,2009-04-01,5802.0,2026-05-31T14:50:01Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QmM
A3480200,A348020001,2009-05-01,3930.0,2026-05-31T14:50:01Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QmM
A3480200,A348020001,2009-06-01,2558.0,2026-05-31T14:50:01Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QmM
A3480200,A348020001,2009-07-01,3198.0,2026-05-31T14:50:01Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QmM
A3480200,A348020001,2009-08-01,2105.0,2026-05-31T14:50:01Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QmM
A3480200,A348020001,2009-09-01,2222.0,2026-05-31T14:50:01Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QmM
A3480200,A348020001,2009-10-01,2187.0,2026-05-31T14:50:01Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QmM
