code_site,code_station,grandeur_hydro,date_debut_serie,date_fin_serie,code_systeme_alti_serie,date_obs,resultat_obs,code_methode_obs,libelle_methode_obs,code_qualification_obs,libelle_qualification_obs,longitude,latitude,code_statut,libelle_statut,code_continuite,libelle_continuite
X2000640,X200064003,H,2026-06-03T00:00:00Z,2026-06-03T00:00:00Z,31,2026-06-03T00:00:00Z,343.0,0,Mesurée,16,Non qualifiée,6.626703576,44.182665705,4,Brute,0,Continue
X2000640,X200064003,H,2026-06-02T23:00:00Z,2026-06-02T23:00:00Z,31,2026-06-02T23:00:00Z,333.0,0,Mesurée,16,Non qualifiée,6.626703576,44.182665705,4,Brute,0,Continue
X2000640,X200064003,H,2026-06-02T22:00:00Z,2026-06-02T22:00:00Z,31,2026-06-02T22:00:00Z,334.0,0,Mesurée,16,Non qualifiée,6.626703576,44.182665705,4,Brute,0,Continue
X2000640,X200064003,H,2026-06-02T21:00:00Z,2026-06-02T21:00:00Z,31,2026-06-02T21:00:00Z,334.0,0,Mesurée,16,Non qualifiée,6.626703576,44.182665705,4,Brute,0,Continue
X2000640,X200064003,H,2026-06-02T20:00:00Z,2026-06-02T20:00:00Z,31,2026-06-02T20:00:00Z,346.0,0,Mesurée,16,Non qualifiée,6.626703576,44.182665705,4,Brute,0,Continue
X2000640,X200064003,H,2026-06-02T19:00:00Z,2026-06-02T19:00:00Z,31,2026-06-02T19:00:00Z,370.0,0,Mesurée,16,Non qualifiée,6.626703576,44.182665705,4,Brute,0,Continue
X2000640,X200064003,H,2026-06-02T18:00:00Z,2026-06-02T18:00:00Z,31,2026-06-02T18:00:00Z,377.0,0,Mesurée,16,Non qualifiée,6.626703576,44.182665705,4,Brute,0,Continue
X2000640,X200064003,H,2026-06-02T17:00:00Z,2026-06-02T17:00:00Z,31,2026-06-02T17:00:00Z,347.0,0,Mesurée,16,Non qualifiée,6.626703576,44.182665705,4,Brute,0,Continue
X2000640,X200064003,H,2026-06-02T16:00:00Z,2026-06-02T16:00:00Z,31,2026-06-02T16:00:00Z,328.0,0,Mesurée,16,Non qualifiée,6.626703576,44.182665705,4,Brute,0,Continue
X2000640,X200064003,H,2026-06-02T15:00:00Z,2026-06-02T15:00:00Z,31,2026-06-02T15:00:00Z,336.0,0,Mesurée,16,Non qualifiée,6.626703576,44.182665705,4,Brute,0,Continue
X2000640,X200064003,H,2026-06-02T14:00:00Z,2026-06-02T14:00:00Z,31,2026-06-02T14:00:00Z,324.0,0,Mesurée,16,Non qualifiée,6.626703576,44.182665705,4,Brute,0,Continue
X2000640,X200064003,H,2026-06-02T13:00:00Z,2026-06-02T13:00:00Z,31,2026-06-02T13:00:00Z,331.0,0,Mesurée,16,Non qualifiée,6.626703576,44.182665705,4,Brute,0,Continue
X2000640,X200064003,H,2026-06-02T12:00:00Z,2026-06-02T12:00:00Z,31,2026-06-02T12:00:00Z,326.0,0,Mesurée,16,Non qualifiée,6.626703576,44.182665705,4,Brute,0,Continue
X2000640,X200064003,H,2026-06-02T11:00:00Z,2026-06-02T11:00:00Z,31,2026-06-02T11:00:00Z,345.0,0,Mesurée,16,Non qualifiée,6.626703576,44.182665705,4,Brute,0,Continue
X2000640,X200064003,H,2026-06-02T09:00:00Z,2026-06-02T09:00:00Z,31,2026-06-02T09:00:00Z,343.0,0,Mesurée,16,Non qualifiée,6.626703576,44.182665705,4,Brute,0,Continue
X2000640,X200064003,H,2026-06-02T08:00:00Z,2026-06-02T08:00:00Z,31,2026-06-02T08:00:00Z,334.0,0,Mesurée,16,Non qualifiée,6.626703576,44.182665705,4,Brute,0,Continue
X2000640,X200064003,H,2026-06-02T07:00:00Z,2026-06-02T07:00:00Z,31,2026-06-02T07:00:00Z,347.0,0,Mesurée,16,Non qualifiée,6.626703576,44.182665705,4,Brute,0,Continue
X2000640,X200064003,H,2026-06-02T06:00:00Z,2026-06-02T06:00:00Z,31,2026-06-02T06:00:00Z,342.0,0,Mesurée,16,Non qualifiée,6.626703576,44.182665705,4,Brute,0,Continue
X2000640,X200064003,H,2026-06-02T05:00:00Z,2026-06-02T05:00:00Z,31,2026-06-02T05:00:00Z,345.0,0,Mesurée,16,Non qualifiée,6.626703576,44.182665705,4,Brute,0,Continue
X2000640,X200064003,H,2026-06-02T04:00:00Z,2026-06-02T04:00:00Z,31,2026-06-02T04:00:00Z,333.0,0,Mesurée,16,Non qualifiée,6.626703576,44.182665705,4,Brute,0,Continue
X2000640,X200064003,H,2026-06-02T03:00:00Z,2026-06-02T03:00:00Z,31,2026-06-02T03:00:00Z,342.0,0,Mesurée,16,Non qualifiée,6.626703576,44.182665705,4,Brute,0,Continue
X2000640,X200064003,H,2026-06-02T02:00:00Z,2026-06-02T02:00:00Z,31,2026-06-02T02:00:00Z,339.0,0,Mesurée,16,Non qualifiée,6.626703576,44.182665705,4,Brute,0,Continue
X2000640,X200064003,H,2026-06-02T01:00:00Z,2026-06-02T01:00:00Z,31,2026-06-02T01:00:00Z,340.0,0,Mesurée,16,Non qualifiée,6.626703576,44.182665705,4,Brute,0,Continue
X2000640,X200064003,H,2026-06-02T00:00:00Z,2026-06-02T00:00:00Z,31,2026-06-02T00:00:00Z,341.0,0,Mesurée,16,Non qualifiée,6.626703576,44.182665705,4,Brute,0,Continue
X2000640,X200064003,H,2026-06-01T23:00:00Z,2026-06-01T23:00:00Z,31,2026-06-01T23:00:00Z,344.0,0,Mesurée,16,Non qualifiée,6.626703576,44.182665705,4,Brute,0,Continue
X2000640,X200064003,H,2026-06-01T22:00:00Z,2026-06-01T22:00:00Z,31,2026-06-01T22:00:00Z,352.0,0,Mesurée,16,Non qualifiée,6.626703576,44.182665705,4,Brute,0,Continue
X2000640,X200064003,H,2026-06-01T21:00:00Z,2026-06-01T21:00:00Z,31,2026-06-01T21:00:00Z,353.0,0,Mesurée,16,Non qualifiée,6.626703576,44.182665705,4,Brute,0,Continue
X2000640,X200064003,H,2026-06-01T20:00:00Z,2026-06-01T20:00:00Z,31,2026-06-01T20:00:00Z,351.0,0,Mesurée,16,Non qualifiée,6.626703576,44.182665705,4,Brute,0,Continue
X2000640,X200064003,H,2026-06-01T19:00:00Z,2026-06-01T19:00:00Z,31,2026-06-01T19:00:00Z,351.0,0,Mesurée,16,Non qualifiée,6.626703576,44.182665705,4,Brute,0,Continue
X2000640,X200064003,H,2026-06-01T18:00:00Z,2026-06-01T18:00:00Z,31,2026-06-01T18:00:00Z,343.0,0,Mesurée,16,Non qualifiée,6.626703576,44.182665705,4,Brute,0,Continue
X2000640,X200064003,H,2026-06-01T17:00:00Z,2026-06-01T17:00:00Z,31,2026-06-01T17:00:00Z,335.0,0,Mesurée,16,Non qualifiée,6.626703576,44.182665705,4,Brute,0,Continue
X2000640,X200064003,H,2026-06-01T16:00:00Z,2026-06-01T16:00:00Z,31,2026-06-01T16:00:00Z,338.0,0,Mesurée,16,Non qualifiée,6.626703576,44.182665705,4,Brute,0,Continue
X2000640,X200064003,H,2026-06-01T15:00:00Z,2026-06-01T15:00:00Z,31,2026-06-01T15:00:00Z,337.0,0,Mesurée,16,Non qualifiée,6.626703576,44.182665705,4,Brute,0,Continue
X2000640,X200064003,H,2026-06-01T14:00:00Z,2026-06-01T14:00:00Z,31,2026-06-01T14:00:00Z,343.0,0,Mesurée,16,Non qualifiée,6.626703576,44.182665705,4,Brute,0,Continue
X2000640,X200064003,H,2026-06-01T13:00:00Z,2026-06-01T13:00:00Z,31,2026-06-01T13:00:00Z,347.0,0,Mesurée,16,Non qualifiée,6.626703576,44.182665705,4,Brute,0,Continue
X2000640,X200064003,H,2026-06-01T12:00:00Z,2026-06-01T12:00:00Z,31,2026-06-01T12:00:00Z,348.0,0,Mesurée,16,Non qualifiée,6.626703576,44.182665705,4,Brute,0,Continue
X2000640,X200064003,H,2026-06-01T11:00:00Z,2026-06-01T11:00:00Z,31,2026-06-01T11:00:00Z,344.0,0,Mesurée,16,Non qualifiée,6.626703576,44.182665705,4,Brute,0,Continue
X2000640,X200064003,H,2026-06-01T10:00:00Z,2026-06-01T10:00:00Z,31,2026-06-01T10:00:00Z,351.0,0,Mesurée,16,Non qualifiée,6.626703576,44.182665705,4,Brute,0,Continue
X2000640,X200064003,H,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,31,2026-06-01T09:00:00Z,341.0,0,Mesurée,16,Non qualifiée,6.626703576,44.182665705,4,Brute,0,Continue
X2000640,X200064003,H,2026-06-01T06:00:00Z,2026-06-01T06:00:00Z,31,2026-06-01T06:00:00Z,336.0,0,Mesurée,16,Non qualifiée,6.626703576,44.182665705,4,Brute,0,Continue
X2000640,X200064003,H,2026-06-01T05:00:00Z,2026-06-01T05:00:00Z,31,2026-06-01T05:00:00Z,338.0,0,Mesurée,16,Non qualifiée,6.626703576,44.182665705,4,Brute,0,Continue
X2000640,X200064003,H,2026-06-01T04:00:00Z,2026-06-01T04:00:00Z,31,2026-06-01T04:00:00Z,341.0,0,Mesurée,16,Non qualifiée,6.626703576,44.182665705,4,Brute,0,Continue
X2000640,X200064003,H,2026-06-01T03:00:00Z,2026-06-01T03:00:00Z,31,2026-06-01T03:00:00Z,356.0,0,Mesurée,16,Non qualifiée,6.626703576,44.182665705,4,Brute,0,Continue
X2000640,X200064003,H,2026-06-01T02:00:00Z,2026-06-01T02:00:00Z,31,2026-06-01T02:00:00Z,369.0,0,Mesurée,16,Non qualifiée,6.626703576,44.182665705,4,Brute,0,Continue
X2000640,X200064003,H,2026-06-01T01:00:00Z,2026-06-01T01:00:00Z,31,2026-06-01T01:00:00Z,371.0,0,Mesurée,16,Non qualifiée,6.626703576,44.182665705,4,Brute,0,Continue
X2000640,X200064003,H,2026-06-01T00:00:00Z,2026-06-01T00:00:00Z,31,2026-06-01T00:00:00Z,371.0,0,Mesurée,16,Non qualifiée,6.626703576,44.182665705,4,Brute,0,Continue
