code_site,libelle_site,type_site,coordonnee_x_site,coordonnee_y_site,code_projection,longitude_site,latitude_site,altitude_site,code_systeme_alti_site,statut_site,influence_generale_site,code_entite_hydro_site,code_troncon_hydro_site,code_commune_site,code_zone_hydro_site,libelle_commune,code_departement,code_region,libelle_region,code_cours_eau,libelle_cours_eau,uri_cours_eau,commentaire_influence_generale_site,commentaire_site,libelle_departement
10110001,La Grande Rivière à Goyaves à Petit-Bourg [Barbotteau],STANDARD,643352.0,1790354.0,39,-61.658989597,16.189402471,133.81,11.0,1.0,0.0,10--0020,10113772,['97118'],1011,['PETIT-BOURG'],['971'],['01'],['GUADELOUPE'],10--0020,Grande Rivière à Goyaves,http://id.eaufrance.fr/CEA/10--0020,,,['GUADELOUPE']
10110002,[Grande riviere a goyave] à Petit-Bourg [canal d'Arnouville],STANDARD,644100.0,1791070.0,39,-61.651949755,16.19582925,,,1.0,0.0,00000000,00000000,['97118'],1011,['PETIT-BOURG'],['971'],['01'],['GUADELOUPE'],00000000,,http://id.eaufrance.fr/CEA/00000000,,,['GUADELOUPE']
10110003,[La Grande Rivière à Goyaves à Petit-Bourg-Barboteau] à Petit-Bourg [pont de la Traversée],STANDARD,643710.0,1790860.0,39,-61.65561032,16.193954427,,,1.0,2.0,1---0002,10110131,['97118'],1011,['PETIT-BOURG'],['971'],['01'],['GUADELOUPE'],1---0002,,http://id.eaufrance.fr/CEA/1---0002,,,['GUADELOUPE']
10110004,La Grande Rivière à Goyaves à Petit-Bourg [Vernou],STANDARD,641900.0,1786900.0,39,-61.672778414,16.158271038,,,1.0,2.0,10--0020,10111653,['97118'],1011,['PETIT-BOURG'],['971'],['01'],['GUADELOUPE'],10--0020,Grande Rivière à Goyaves,http://id.eaufrance.fr/CEA/10--0020,,,['GUADELOUPE']
10150001,La rivière Bras David à Petit-Bourg [Maison Forêt],STANDARD,639703.869,1788847.318,39,-61.693199749,16.175997701,214.38,11.0,1.0,0.0,101-1020,10150355,['97118'],1015,['PETIT-BOURG'],['971'],['01'],['GUADELOUPE'],101-1020,Rivière Bras David,http://id.eaufrance.fr/CEA/101-1020,,,['GUADELOUPE']
10160001,La rivière Bras David à Petit-Bourg [Prise d'eau Duclos],STANDARD,642548.89,1791425.85,39,-61.666435864,16.199136863,104.92,11.0,1.0,0.0,101-1020,10160930,['97118'],1016,['PETIT-BOURG'],['971'],['01'],['GUADELOUPE'],101-1020,Rivière Bras David,http://id.eaufrance.fr/CEA/101-1020,,,['GUADELOUPE']
10160002,[La rivière Bras David] à Petit-Bourg [cote 110],STANDARD,643530.0,1791840.0,39,-61.657233929,16.202822061,,,1.0,0.0,00000000,00000000,['97118'],1016,['PETIT-BOURG'],['971'],['01'],['GUADELOUPE'],00000000,,http://id.eaufrance.fr/CEA/00000000,,,['GUADELOUPE']
10160003,La rivière Bras David [Petit-Bourg [cote 130]] à Petit-Bourg [cote 130],STANDARD,641810.0,1790790.0,39,-61.673385354,16.193433429,,,1.0,2.0,101-1020,10161576,['97118'],1016,['PETIT-BOURG'],['971'],['01'],['GUADELOUPE'],101-1020,Rivière Bras David,http://id.eaufrance.fr/CEA/101-1020,,,['GUADELOUPE']
10200001,"[Grande riviere a goyave] à Petit-Bourg [Prise d'eau, cote 90]",STANDARD,643971.0,1792097.0,39,-61.653093292,16.205118648,,,2.0,2.0,00000000,00000000,['97118'],1020,['PETIT-BOURG'],['971'],['01'],['GUADELOUPE'],00000000,,http://id.eaufrance.fr/CEA/00000000,,,['GUADELOUPE']
10210001,La rivière de Bras de Sable à Lamentin [Ravine Chaude],STANDARD,642290.0,1794320.0,39,-61.668681698,16.225308732,,,1.0,0.0,10211020,10210029,['97115'],1021,['LAMENTIN'],['971'],['01'],['GUADELOUPE'],10211020,Rivière de Bras de Sable,http://id.eaufrance.fr/CEA/10211020,,,['GUADELOUPE']
