code_site,code_station,date_obs_elab,resultat_obs_elab,date_prod,code_statut,libelle_statut,code_methode,libelle_methode,code_qualification,libelle_qualification,longitude,latitude,grandeur_hydro_elab
A2350200,A235020003,1971-02-01,346.0,2026-05-31T21:42:37Z,16,Donnée validée,10,Expertisée,20,Bonne,7.475314505,48.278696563,HIXM
A2350200,A235020003,1971-04-01,293.0,2026-05-31T21:42:37Z,16,Donnée validée,10,Expertisée,20,Bonne,7.475314505,48.278696563,HIXM
A2350200,A235020003,1971-05-01,270.0,2026-05-31T21:42:37Z,16,Donnée validée,10,Expertisée,20,Bonne,7.475314505,48.278696563,HIXM
A2350200,A235020003,1971-06-01,540.0,2026-05-31T21:42:37Z,16,Donnée validée,10,Expertisée,20,Bonne,7.475314505,48.278696563,HIXM
A2350200,A235020003,1971-08-01,250.0,2026-05-31T21:42:37Z,16,Donnée validée,10,Expertisée,20,Bonne,7.475314505,48.278696563,HIXM
A2350200,A235020003,1971-09-01,140.0,2026-05-31T21:42:37Z,16,Donnée validée,10,Expertisée,20,Bonne,7.475314505,48.278696563,HIXM
A2350200,A235020003,1971-10-01,120.0,2026-05-31T21:42:37Z,16,Donnée validée,10,Expertisée,20,Bonne,7.475314505,48.278696563,HIXM
A2350200,A235020003,1971-11-01,490.0,2026-05-31T21:42:37Z,16,Donnée validée,10,Expertisée,20,Bonne,7.475314505,48.278696563,HIXM
A2350200,A235020003,1971-12-01,270.0,2026-05-31T21:42:37Z,16,Donnée validée,10,Expertisée,20,Bonne,7.475314505,48.278696563,HIXM
A2350200,A235020003,1972-01-01,210.0,2026-05-31T21:42:37Z,16,Donnée validée,10,Expertisée,20,Bonne,7.475314505,48.278696563,HIXM
A2350200,A235020003,1972-02-01,320.0,2026-05-31T21:42:37Z,16,Donnée validée,10,Expertisée,20,Bonne,7.475314505,48.278696563,HIXM
A2350200,A235020003,1972-03-01,380.0,2026-05-31T21:42:37Z,16,Donnée validée,10,Expertisée,20,Bonne,7.475314505,48.278696563,HIXM
A2350200,A235020003,1972-04-01,400.0,2026-05-31T21:42:37Z,16,Donnée validée,10,Expertisée,20,Bonne,7.475314505,48.278696563,HIXM
A2350200,A235020003,1972-05-01,380.0,2026-05-31T21:42:37Z,16,Donnée validée,10,Expertisée,20,Bonne,7.475314505,48.278696563,HIXM
A2350200,A235020003,1972-06-01,340.0,2026-05-31T21:42:37Z,16,Donnée validée,10,Expertisée,20,Bonne,7.475314505,48.278696563,HIXM
A2350200,A235020003,1972-07-01,350.0,2026-05-31T21:42:37Z,16,Donnée validée,10,Expertisée,20,Bonne,7.475314505,48.278696563,HIXM
A2350200,A235020003,1972-08-01,430.0,2026-05-31T21:42:37Z,16,Donnée validée,10,Expertisée,20,Bonne,7.475314505,48.278696563,HIXM
A2350200,A235020003,1972-09-01,150.0,2026-05-31T21:42:37Z,16,Donnée validée,10,Expertisée,20,Bonne,7.475314505,48.278696563,HIXM
A2350200,A235020003,1972-10-01,200.0,2026-05-31T21:42:37Z,16,Donnée validée,10,Expertisée,20,Bonne,7.475314505,48.278696563,HIXM
A2350200,A235020003,1972-11-01,2200.0,2026-05-31T21:42:37Z,16,Donnée validée,10,Expertisée,20,Bonne,7.475314505,48.278696563,HIXM
A2350200,A235020003,1972-12-01,610.0,2026-05-31T21:42:37Z,16,Donnée validée,10,Expertisée,20,Bonne,7.475314505,48.278696563,HIXM
