code_site,code_station,date_obs_elab,resultat_obs_elab,date_prod,code_statut,libelle_statut,code_methode,libelle_methode,code_qualification,libelle_qualification,longitude,latitude,grandeur_hydro_elab
A1580201,A158020101,1971-01-01,300.0,2026-05-31T18:08:38Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,HIXnJ
A1580201,A158020101,1971-01-02,278.0,2026-05-31T18:08:38Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,HIXnJ
A1580201,A158020101,1971-01-03,250.0,2026-05-31T18:08:38Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,HIXnJ
A1580201,A158020101,1971-01-08,260.0,2026-05-31T18:08:38Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,HIXnJ
A1580201,A158020101,1971-01-09,260.0,2026-05-31T18:08:38Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,HIXnJ
A1580201,A158020101,1971-01-10,260.0,2026-05-31T18:08:38Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,HIXnJ
A1580201,A158020101,1971-01-11,257.0,2026-05-31T18:08:38Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,HIXnJ
A1580201,A158020101,1971-01-12,250.0,2026-05-31T18:08:38Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,HIXnJ
A1580201,A158020101,1971-01-13,250.0,2026-05-31T18:08:38Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,HIXnJ
A1580201,A158020101,1971-01-14,260.0,2026-05-31T18:08:38Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,HIXnJ
A1580201,A158020101,1971-01-15,254.0,2026-05-31T18:08:38Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,HIXnJ
A1580201,A158020101,1971-01-16,240.0,2026-05-31T18:08:38Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,HIXnJ
A1580201,A158020101,1971-01-17,250.0,2026-05-31T18:08:38Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,HIXnJ
A1580201,A158020101,1971-01-18,247.0,2026-05-31T18:08:38Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,HIXnJ
A1580201,A158020101,1971-01-19,269.0,2026-05-31T18:08:38Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,HIXnJ
A1580201,A158020101,1971-01-20,300.0,2026-05-31T18:08:38Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,HIXnJ
A1580201,A158020101,1971-01-21,294.0,2026-05-31T18:08:38Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,HIXnJ
A1580201,A158020101,1971-01-22,290.0,2026-05-31T18:08:38Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,HIXnJ
A1580201,A158020101,1971-01-23,310.0,2026-05-31T18:08:38Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,HIXnJ
A1580201,A158020101,1971-01-24,453.0,2026-05-31T18:08:38Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,HIXnJ
A1580201,A158020101,1971-01-25,810.0,2026-05-31T18:08:38Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,HIXnJ
A1580201,A158020101,1971-01-26,587.0,2026-05-31T18:08:38Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,HIXnJ
A1580201,A158020101,1971-01-27,657.0,2026-05-31T18:08:38Z,16,Donnée validée,10,Expertisée,20,Bonne,7.38079998,48.059669735,HIXnJ
