code_site,code_station,date_obs_elab,resultat_obs_elab,date_prod,code_statut,libelle_statut,code_methode,libelle_methode,code_qualification,libelle_qualification,longitude,latitude,grandeur_hydro_elab
A2360030,A236003001,2007-01-01,77659.0,2026-05-31T16:02:58Z,12,Donnée pré-validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QmM
A2360030,A236003001,2007-02-01,66346.0,2026-05-31T16:02:58Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QmM
A2360030,A236003001,2007-03-01,67514.0,2026-05-31T16:02:58Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QmM
A2360030,A236003001,2007-04-01,31844.0,2026-05-31T16:02:58Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QmM
A2360030,A236003001,2007-05-01,28061.0,2026-05-31T16:02:58Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QmM
A2360030,A236003001,2007-06-01,40475.0,2026-05-31T16:02:58Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QmM
A2360030,A236003001,2007-07-01,41579.0,2026-05-31T16:02:58Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QmM
A2360030,A236003001,2007-08-01,38819.0,2026-05-31T16:02:58Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QmM
A2360030,A236003001,2007-09-01,21570.0,2026-05-31T16:02:58Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QmM
A2360030,A236003001,2007-10-01,19065.0,2026-05-31T16:02:58Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QmM
A2360030,A236003001,2007-11-01,34398.0,2026-05-31T16:02:58Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QmM
A2360030,A236003001,2007-12-01,71916.0,2026-05-31T16:02:58Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QmM
A2360030,A236003001,2008-01-01,57889.0,2026-05-31T16:02:58Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QmM
A2360030,A236003001,2008-02-01,38308.0,2026-05-31T16:02:58Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QmM
A2360030,A236003001,2008-03-01,66917.0,2026-05-31T16:02:58Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QmM
A2360030,A236003001,2008-04-01,75038.0,2026-05-31T16:02:58Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QmM
A2360030,A236003001,2008-05-01,29424.0,2026-05-31T16:02:58Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QmM
A2360030,A236003001,2008-06-01,24413.0,2026-05-31T16:02:58Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QmM
A2360030,A236003001,2008-07-01,18701.0,2026-05-31T16:02:58Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QmM
A2360030,A236003001,2008-08-01,22785.0,2026-05-31T16:02:58Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QmM
A2360030,A236003001,2008-09-01,30978.0,2026-05-31T16:02:58Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QmM
A2360030,A236003001,2008-10-01,31704.0,2026-05-31T16:02:58Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QmM
A2360030,A236003001,2008-11-01,41809.0,2026-05-31T16:02:58Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QmM
A2360030,A236003001,2008-12-01,50751.0,2026-05-31T16:02:58Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QmM
A2360030,A236003001,2009-01-01,38103.0,2026-05-31T16:02:58Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QmM
A2360030,A236003001,2009-02-01,55425.0,2026-05-31T16:02:58Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QmM
A2360030,A236003001,2009-03-01,59371.0,2026-05-31T16:02:58Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QmM
A2360030,A236003001,2009-04-01,43046.0,2026-05-31T16:02:58Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QmM
A2360030,A236003001,2009-05-01,22762.0,2026-05-31T16:02:58Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QmM
A2360030,A236003001,2009-06-01,16858.0,2026-05-31T16:02:58Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QmM
A2360030,A236003001,2009-07-01,21631.0,2026-05-31T16:02:58Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QmM
A2360030,A236003001,2009-08-01,14503.0,2026-05-31T16:02:58Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QmM
A2360030,A236003001,2009-09-01,13979.0,2026-05-31T16:02:58Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QmM
A2360030,A236003001,2009-10-01,15808.0,2026-05-31T16:02:58Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QmM
A2360030,A236003001,2009-11-01,27256.0,2026-05-31T16:02:58Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QmM
A2360030,A236003001,2009-12-01,51962.0,2026-05-31T16:02:58Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QmM
A2360030,A236003001,2010-01-01,57548.0,2026-05-31T16:02:58Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QmM
A2360030,A236003001,2010-02-01,62819.0,2026-05-31T16:02:58Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QmM
A2360030,A236003001,2010-03-01,54568.0,2026-05-31T16:02:58Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QmM
A2360030,A236003001,2010-04-01,35332.0,2026-05-31T16:02:58Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QmM
A2360030,A236003001,2010-05-01,33452.0,2026-05-31T16:02:58Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QmM
A2360030,A236003001,2010-06-01,21973.0,2026-05-31T16:02:58Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QmM
A2360030,A236003001,2010-07-01,14139.0,2026-05-31T16:02:58Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QmM
A2360030,A236003001,2010-08-01,23857.0,2026-05-31T16:02:58Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QmM
A2360030,A236003001,2010-09-01,19032.0,2026-05-31T16:02:58Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QmM
A2360030,A236003001,2010-10-01,18370.0,2026-05-31T16:02:58Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QmM
A2360030,A236003001,2010-11-01,34415.0,2026-05-31T16:02:58Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QmM
A2360030,A236003001,2010-12-01,88846.0,2026-05-31T16:02:58Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QmM
A2360030,A236003001,2011-01-01,74337.0,2026-05-31T16:02:58Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QmM
A2360030,A236003001,2011-02-01,27531.0,2026-05-31T16:02:58Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QmM
A2360030,A236003001,2011-03-01,20223.0,2026-05-31T16:02:58Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QmM
A2360030,A236003001,2011-04-01,15418.0,2026-05-31T16:02:58Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QmM
A2360030,A236003001,2011-05-01,10580.0,2026-05-31T16:02:58Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.546574037,48.33701451,QmM
A2360030,A236003001,2011-06-01,13364.0,2026-05-31T16:02:58Z,16,Donnée validée,10,Expertisée,12,Douteuse,7.546574037,48.33701451,QmM
A2360030,A236003001,2011-07-01,15727.0,2026-05-31T16:02:58Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QmM
A2360030,A236003001,2011-08-01,14380.0,2026-05-31T16:02:58Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QmM
A2360030,A236003001,2011-09-01,11427.0,2026-05-31T16:02:58Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QmM
A2360030,A236003001,2011-10-01,14427.0,2026-05-31T16:02:58Z,16,Donnée validée,10,Expertisée,20,Bonne,7.546574037,48.33701451,QmM
