code_site,code_station,date_obs_elab,resultat_obs_elab,date_prod,code_statut,libelle_statut,code_methode,libelle_methode,code_qualification,libelle_qualification,longitude,latitude,grandeur_hydro_elab
A3430210,A343021001,2007-01-01,1370.0,2026-06-01T05:35:54Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,QIXnJ
A3430210,A343021001,2007-01-02,1882.0,2026-06-01T05:35:54Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,QIXnJ
A3430210,A343021001,2007-01-03,1898.0,2026-06-01T05:35:54Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,QIXnJ
A3430210,A343021001,2007-01-04,1311.0,2026-06-01T05:35:54Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,QIXnJ
A3430210,A343021001,2007-01-05,1156.0,2026-06-01T05:35:54Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,QIXnJ
A3430210,A343021001,2007-01-06,1110.0,2026-06-01T05:35:54Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,QIXnJ
A3430210,A343021001,2007-01-07,1098.0,2026-06-01T05:35:54Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,QIXnJ
A3430210,A343021001,2007-01-08,1087.0,2026-06-01T05:35:54Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,QIXnJ
A3430210,A343021001,2007-01-09,1076.0,2026-06-01T05:35:54Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,QIXnJ
A3430210,A343021001,2007-01-10,1083.0,2026-06-01T05:35:54Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,QIXnJ
A3430210,A343021001,2007-01-11,1336.0,2026-06-01T05:35:54Z,16,Donnée validée,10,Expertisée,20,Bonne,7.310495367,48.799588457,QIXnJ
