code_site,code_station,date_obs_elab,resultat_obs_elab,date_prod,code_statut,libelle_statut,code_methode,libelle_methode,code_qualification,libelle_qualification,longitude,latitude,grandeur_hydro_elab
A2140100,A214010001,2007-01-01,1288.0,2026-05-31T18:54:37Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXnJ
A2140100,A214010001,2007-01-02,965.0,2026-05-31T18:54:37Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXnJ
A2140100,A214010001,2007-01-03,937.0,2026-05-31T18:54:37Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXnJ
A2140100,A214010001,2007-01-04,987.0,2026-05-31T18:54:37Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXnJ
A2140100,A214010001,2007-01-05,988.0,2026-05-31T18:54:37Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXnJ
A2140100,A214010001,2007-01-06,972.0,2026-05-31T18:54:37Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXnJ
A2140100,A214010001,2007-01-07,1287.0,2026-05-31T18:54:37Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXnJ
A2140100,A214010001,2007-01-08,1347.0,2026-05-31T18:54:37Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXnJ
A2140100,A214010001,2007-01-09,1311.0,2026-05-31T18:54:37Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXnJ
A2140100,A214010001,2007-01-10,1255.0,2026-05-31T18:54:37Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXnJ
A2140100,A214010001,2007-01-11,1355.0,2026-05-31T18:54:37Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXnJ
A2140100,A214010001,2007-01-12,1501.0,2026-05-31T18:54:37Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXnJ
A2140100,A214010001,2007-01-13,1183.0,2026-05-31T18:54:37Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXnJ
A2140100,A214010001,2007-01-14,1118.0,2026-05-31T18:54:37Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXnJ
A2140100,A214010001,2007-01-15,1054.0,2026-05-31T18:54:37Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXnJ
A2140100,A214010001,2007-01-16,990.0,2026-05-31T18:54:37Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXnJ
A2140100,A214010001,2007-01-17,943.0,2026-05-31T18:54:37Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXnJ
A2140100,A214010001,2007-01-18,1531.0,2026-05-31T18:54:37Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXnJ
A2140100,A214010001,2007-01-19,2792.0,2026-05-31T18:54:37Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXnJ
A2140100,A214010001,2007-01-20,2373.0,2026-05-31T18:54:37Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXnJ
A2140100,A214010001,2007-01-21,2083.0,2026-05-31T18:54:37Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXnJ
A2140100,A214010001,2007-01-22,1655.0,2026-05-31T18:54:37Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXnJ
A2140100,A214010001,2007-01-23,1498.0,2026-05-31T18:54:37Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXnJ
A2140100,A214010001,2007-01-24,1323.0,2026-05-31T18:54:37Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXnJ
A2140100,A214010001,2007-01-25,1194.0,2026-05-31T18:54:37Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXnJ
A2140100,A214010001,2007-01-26,1088.0,2026-05-31T18:54:37Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXnJ
A2140100,A214010001,2007-01-27,1015.0,2026-05-31T18:54:37Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXnJ
A2140100,A214010001,2007-01-28,973.0,2026-05-31T18:54:37Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXnJ
A2140100,A214010001,2007-01-29,953.0,2026-05-31T18:54:37Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXnJ
A2140100,A214010001,2007-01-30,941.0,2026-05-31T18:54:37Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXnJ
A2140100,A214010001,2007-01-31,908.0,2026-05-31T18:54:37Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXnJ
A2140100,A214010001,2007-02-01,886.0,2026-05-31T18:54:37Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXnJ
A2140100,A214010001,2007-02-02,876.0,2026-05-31T18:54:37Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXnJ
A2140100,A214010001,2007-02-03,870.0,2026-05-31T18:54:37Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXnJ
A2140100,A214010001,2007-02-04,856.0,2026-05-31T18:54:37Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,HIXnJ
