code_site,code_station,date_obs_elab,resultat_obs_elab,date_prod,code_statut,libelle_statut,code_methode,libelle_methode,code_qualification,libelle_qualification,longitude,latitude,grandeur_hydro_elab
A2140100,A214010001,2007-01-01,3050.0,2026-06-01T17:41:09Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,QINM
A2140100,A214010001,2007-02-01,7799.0,2026-06-01T17:41:09Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,QINM
A2140100,A214010001,2007-03-01,6804.0,2026-06-01T17:41:09Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,QINM
A2140100,A214010001,2007-04-01,2417.0,2026-06-01T17:41:09Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,QINM
A2140100,A214010001,2007-05-01,1804.0,2026-06-01T17:41:09Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,QINM
A2140100,A214010001,2007-06-01,2123.0,2026-06-01T17:41:09Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,QINM
A2140100,A214010001,2007-07-01,2595.0,2026-06-01T17:41:09Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,QINM
A2140100,A214010001,2007-08-01,2610.0,2026-06-01T17:41:09Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,QINM
A2140100,A214010001,2007-09-01,1008.0,2026-06-01T17:41:09Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,QINM
A2140100,A214010001,2007-10-01,1040.0,2026-06-01T17:41:09Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,QINM
A2140100,A214010001,2007-11-01,1045.0,2026-06-01T17:41:09Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,QINM
A2140100,A214010001,2007-12-01,4660.0,2026-06-01T17:41:09Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,QINM
A2140100,A214010001,2008-01-01,3840.0,2026-06-01T17:41:09Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,QINM
A2140100,A214010001,2008-02-01,4520.0,2026-06-01T17:41:09Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,QINM
A2140100,A214010001,2008-03-01,6701.0,2026-06-01T17:41:09Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,QINM
A2140100,A214010001,2008-04-01,9463.0,2026-06-01T17:41:09Z,16,Donnée validée,10,Expertisée,20,Bonne,7.369707586,48.159712726,QINM
