code_site,code_station,date_obs_elab,resultat_obs_elab,date_prod,code_statut,libelle_statut,code_methode,libelle_methode,code_qualification,libelle_qualification,longitude,latitude,grandeur_hydro_elab
A2350200,A235020001,2007-01-01,958.0,2026-05-31T21:42:40Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,HIXM
A2350200,A235020001,2007-02-01,1079.0,2026-05-31T21:42:40Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,HIXM
A2350200,A235020001,2007-03-01,1476.0,2026-05-31T21:42:40Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,HIXM
A2350200,A235020001,2007-04-01,754.0,2026-05-31T21:42:40Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,HIXM
A2350200,A235020001,2007-05-01,783.0,2026-05-31T21:42:40Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,HIXM
A2350200,A235020001,2007-06-01,727.0,2026-05-31T21:42:40Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,HIXM
A2350200,A235020001,2007-07-01,807.0,2026-05-31T21:42:40Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,HIXM
A2350200,A235020001,2007-08-01,706.0,2026-05-31T21:42:40Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,HIXM
A2350200,A235020001,2007-09-01,596.0,2026-05-31T21:42:40Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,HIXM
A2350200,A235020001,2007-10-01,492.0,2026-05-31T21:42:40Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,HIXM
A2350200,A235020001,2007-11-01,879.0,2026-05-31T21:42:40Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,HIXM
A2350200,A235020001,2007-12-01,1139.0,2026-05-31T21:42:40Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,HIXM
A2350200,A235020001,2008-01-01,923.0,2026-05-31T21:42:40Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,HIXM
A2350200,A235020001,2008-02-01,873.0,2026-05-31T21:42:40Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,HIXM
A2350200,A235020001,2008-03-01,998.0,2026-05-31T21:42:40Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,HIXM
A2350200,A235020001,2008-04-01,1099.0,2026-05-31T21:42:40Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,HIXM
A2350200,A235020001,2008-05-01,744.0,2026-05-31T21:42:40Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,HIXM
A2350200,A235020001,2008-06-01,631.0,2026-05-31T21:42:40Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,HIXM
A2350200,A235020001,2008-07-01,444.0,2026-05-31T21:42:40Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,HIXM
A2350200,A235020001,2008-08-01,803.0,2026-05-31T21:42:40Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,HIXM
A2350200,A235020001,2008-09-01,951.0,2026-05-31T21:42:40Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,HIXM
A2350200,A235020001,2008-10-01,697.0,2026-05-31T21:42:40Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,HIXM
A2350200,A235020001,2008-11-01,782.0,2026-05-31T21:42:40Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,HIXM
A2350200,A235020001,2008-12-01,834.0,2026-05-31T21:42:40Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,HIXM
A2350200,A235020001,2009-01-01,744.0,2026-05-31T21:42:40Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,HIXM
A2350200,A235020001,2009-02-01,836.0,2026-05-31T21:42:40Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,HIXM
A2350200,A235020001,2009-03-01,906.0,2026-05-31T21:42:40Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,HIXM
A2350200,A235020001,2009-04-01,735.0,2026-05-31T21:42:40Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,HIXM
A2350200,A235020001,2009-05-01,649.0,2026-05-31T21:42:40Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,HIXM
A2350200,A235020001,2009-06-01,625.0,2026-05-31T21:42:40Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,HIXM
A2350200,A235020001,2009-07-01,889.0,2026-05-31T21:42:40Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,HIXM
A2350200,A235020001,2009-08-01,867.0,2026-05-31T21:42:40Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,HIXM
A2350200,A235020001,2009-09-01,387.0,2026-05-31T21:42:40Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,HIXM
A2350200,A235020001,2009-10-01,486.0,2026-05-31T21:42:40Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,HIXM
A2350200,A235020001,2009-11-01,649.0,2026-05-31T21:42:40Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,HIXM
A2350200,A235020001,2009-12-01,1107.0,2026-05-31T21:42:40Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,HIXM
A2350200,A235020001,2010-01-01,878.0,2026-05-31T21:42:40Z,16,Donnée validée,4,Reconstituée,20,Bonne,7.45981862,48.271832622,HIXM
A2350200,A235020001,2010-02-01,886.0,2026-05-31T21:42:40Z,16,Donnée validée,4,Reconstituée,20,Bonne,7.45981862,48.271832622,HIXM
A2350200,A235020001,2010-03-01,818.0,2026-05-31T21:42:40Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,HIXM
A2350200,A235020001,2010-04-01,749.0,2026-05-31T21:42:40Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,HIXM
A2350200,A235020001,2010-05-01,690.0,2026-05-31T21:42:40Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,HIXM
A2350200,A235020001,2010-06-01,662.0,2026-05-31T21:42:40Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,HIXM
A2350200,A235020001,2010-07-01,674.0,2026-05-31T21:42:40Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,HIXM
A2350200,A235020001,2010-08-01,970.0,2026-05-31T21:42:40Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,HIXM
A2350200,A235020001,2010-09-01,611.0,2026-05-31T21:42:40Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,HIXM
A2350200,A235020001,2010-10-01,609.0,2026-05-31T21:42:40Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,HIXM
A2350200,A235020001,2010-11-01,789.0,2026-05-31T21:42:40Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,HIXM
A2350200,A235020001,2010-12-01,1717.0,2026-05-31T21:42:40Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,HIXM
A2350200,A235020001,2011-01-01,1110.0,2026-05-31T21:42:40Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,HIXM
A2350200,A235020001,2011-02-01,662.0,2026-05-31T21:42:40Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,HIXM
A2350200,A235020001,2011-03-01,632.0,2026-05-31T21:42:40Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,HIXM
A2350200,A235020001,2011-04-01,599.0,2026-05-31T21:42:40Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,HIXM
A2350200,A235020001,2011-05-01,519.0,2026-05-31T21:42:40Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,HIXM
A2350200,A235020001,2011-06-01,723.0,2026-05-31T21:42:40Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,HIXM
A2350200,A235020001,2011-07-01,856.0,2026-05-31T21:42:40Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,HIXM
A2350200,A235020001,2011-08-01,1089.0,2026-05-31T21:42:40Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,HIXM
A2350200,A235020001,2011-09-01,579.0,2026-05-31T21:42:40Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,HIXM
A2350200,A235020001,2011-10-01,652.0,2026-05-31T21:42:40Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,HIXM
A2350200,A235020001,2011-11-01,441.0,2026-05-31T21:42:40Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,HIXM
A2350200,A235020001,2011-12-01,1498.0,2026-05-31T21:42:40Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,HIXM
A2350200,A235020001,2012-01-01,1580.0,2026-05-31T21:42:40Z,16,Donnée validée,4,Reconstituée,20,Bonne,7.45981862,48.271832622,HIXM
A2350200,A235020001,2012-02-01,781.0,2026-05-31T21:42:40Z,16,Donnée validée,4,Reconstituée,20,Bonne,7.45981862,48.271832622,HIXM
A2350200,A235020001,2012-03-01,701.0,2026-05-31T21:42:40Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,HIXM
A2350200,A235020001,2012-04-01,690.0,2026-05-31T21:42:40Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,HIXM
A2350200,A235020001,2012-05-01,955.0,2026-05-31T21:42:40Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,HIXM
A2350200,A235020001,2012-06-01,895.0,2026-05-31T21:42:40Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,HIXM
A2350200,A235020001,2012-07-01,895.0,2026-05-31T21:42:40Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,HIXM
A2350200,A235020001,2012-08-01,500.0,2026-05-31T21:42:40Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,HIXM
A2350200,A235020001,2012-09-01,585.0,2026-05-31T21:42:40Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,HIXM
A2350200,A235020001,2012-10-01,842.0,2026-05-31T21:42:40Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,HIXM
A2350200,A235020001,2012-11-01,1039.0,2026-05-31T21:42:40Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,HIXM
