code_site,code_station,date_obs_elab,resultat_obs_elab,date_prod,code_statut,libelle_statut,code_methode,libelle_methode,code_qualification,libelle_qualification,longitude,latitude,grandeur_hydro_elab
A2350200,A235020001,2007-01-01,2501.0,2026-06-02T09:25:00Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmnJ
A2350200,A235020001,2007-01-02,5360.0,2026-06-02T09:25:00Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmnJ
A2350200,A235020001,2007-01-03,6811.0,2026-06-02T09:25:00Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmnJ
A2350200,A235020001,2007-01-04,6600.0,2026-06-02T09:25:00Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmnJ
A2350200,A235020001,2007-01-05,6657.0,2026-06-02T09:25:00Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmnJ
A2350200,A235020001,2007-01-06,6329.0,2026-06-02T09:25:00Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmnJ
A2350200,A235020001,2007-01-07,7087.0,2026-06-02T09:25:00Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmnJ
A2350200,A235020001,2007-01-08,6989.0,2026-06-02T09:25:00Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmnJ
A2350200,A235020001,2007-01-09,6731.0,2026-06-02T09:25:00Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmnJ
A2350200,A235020001,2007-01-10,5899.0,2026-06-02T09:25:00Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmnJ
A2350200,A235020001,2007-01-11,7020.0,2026-06-02T09:25:00Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmnJ
A2350200,A235020001,2007-01-12,8762.0,2026-06-02T09:25:00Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmnJ
A2350200,A235020001,2007-01-13,6318.0,2026-06-02T09:25:00Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmnJ
A2350200,A235020001,2007-01-14,5638.0,2026-06-02T09:25:00Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmnJ
A2350200,A235020001,2007-01-15,4808.0,2026-06-02T09:25:00Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmnJ
A2350200,A235020001,2007-01-16,4330.0,2026-06-02T09:25:00Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmnJ
A2350200,A235020001,2007-01-17,3819.0,2026-06-02T09:25:00Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmnJ
A2350200,A235020001,2007-01-18,3942.0,2026-06-02T09:25:00Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmnJ
A2350200,A235020001,2007-01-19,8643.0,2026-06-02T09:25:00Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmnJ
A2350200,A235020001,2007-01-20,9038.0,2026-06-02T09:25:00Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmnJ
A2350200,A235020001,2007-01-21,9654.0,2026-06-02T09:25:00Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmnJ
A2350200,A235020001,2007-01-22,8565.0,2026-06-02T09:25:00Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmnJ
A2350200,A235020001,2007-01-23,8079.0,2026-06-02T09:25:00Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmnJ
A2350200,A235020001,2007-01-24,7042.0,2026-06-02T09:25:00Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmnJ
A2350200,A235020001,2007-01-25,5931.0,2026-06-02T09:25:00Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmnJ
A2350200,A235020001,2007-01-26,5142.0,2026-06-02T09:25:00Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmnJ
A2350200,A235020001,2007-01-27,4507.0,2026-06-02T09:25:00Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmnJ
A2350200,A235020001,2007-01-28,4499.0,2026-06-02T09:25:00Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmnJ
A2350200,A235020001,2007-01-29,5053.0,2026-06-02T09:25:00Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmnJ
A2350200,A235020001,2007-01-30,5220.0,2026-06-02T09:25:00Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmnJ
A2350200,A235020001,2007-01-31,5158.0,2026-06-02T09:25:00Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmnJ
A2350200,A235020001,2007-02-01,4764.0,2026-06-02T09:25:00Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmnJ
A2350200,A235020001,2007-02-02,4440.0,2026-06-02T09:25:00Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmnJ
A2350200,A235020001,2007-02-03,4263.0,2026-06-02T09:25:00Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmnJ
A2350200,A235020001,2007-02-04,4173.0,2026-06-02T09:25:00Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmnJ
A2350200,A235020001,2007-02-05,4163.0,2026-06-02T09:25:00Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmnJ
A2350200,A235020001,2007-02-06,4292.0,2026-06-02T09:25:00Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmnJ
A2350200,A235020001,2007-02-07,4339.0,2026-06-02T09:25:00Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmnJ
A2350200,A235020001,2007-02-08,5084.0,2026-06-02T09:25:00Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmnJ
A2350200,A235020001,2007-02-09,6004.0,2026-06-02T09:25:00Z,16,Donnée validée,10,Expertisée,20,Bonne,7.45981862,48.271832622,QmnJ
