code_site,code_station,date_obs_elab,resultat_obs_elab,date_prod,code_statut,libelle_statut,code_methode,libelle_methode,code_qualification,libelle_qualification,longitude,latitude,grandeur_hydro_elab
A3480200,A348020001,2007-01-01,3584.0,2026-06-01T17:33:14Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINM
A3480200,A348020001,2007-02-01,6396.0,2026-06-01T17:33:14Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINM
A3480200,A348020001,2007-03-01,7622.0,2026-06-01T17:33:14Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINM
A3480200,A348020001,2007-04-01,3791.0,2026-06-01T17:33:14Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINM
A3480200,A348020001,2007-05-01,3640.0,2026-06-01T17:33:14Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINM
A3480200,A348020001,2007-06-01,3520.0,2026-06-01T17:33:14Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINM
A3480200,A348020001,2007-07-01,3438.0,2026-06-01T17:33:14Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINM
A3480200,A348020001,2007-08-01,2766.0,2026-06-01T17:33:14Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINM
A3480200,A348020001,2007-09-01,2661.0,2026-06-01T17:33:14Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINM
A3480200,A348020001,2007-10-01,1902.0,2026-06-01T17:33:14Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINM
A3480200,A348020001,2007-11-01,2310.0,2026-06-01T17:33:14Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINM
A3480200,A348020001,2007-12-01,4155.0,2026-06-01T17:33:14Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINM
A3480200,A348020001,2008-01-01,3943.0,2026-06-01T17:33:14Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINM
A3480200,A348020001,2008-02-01,4749.0,2026-06-01T17:33:14Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINM
A3480200,A348020001,2008-03-01,5459.0,2026-06-01T17:33:14Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINM
A3480200,A348020001,2008-04-01,6314.0,2026-06-01T17:33:14Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINM
A3480200,A348020001,2008-05-01,2926.0,2026-06-01T17:33:14Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINM
A3480200,A348020001,2008-06-01,1643.0,2026-06-01T17:33:14Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINM
A3480200,A348020001,2008-07-01,1568.0,2026-06-01T17:33:14Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINM
A3480200,A348020001,2008-08-01,1885.0,2026-06-01T17:33:14Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINM
A3480200,A348020001,2008-09-01,1733.0,2026-06-01T17:33:14Z,16,Donnée validée,10,Expertisée,20,Bonne,7.633681563,48.749633549,QINM
