code_site,code_station,grandeur_hydro,date_debut_serie,date_fin_serie,code_systeme_alti_serie,date_obs,resultat_obs,code_methode_obs,libelle_methode_obs,code_qualification_obs,libelle_qualification_obs,longitude,latitude,code_statut,libelle_statut,code_continuite,libelle_continuite
A2360030,A236003001,H,2026-06-03T23:10:00Z,2026-06-04T00:00:00Z,31,2026-06-04 00:00:00+00:00,606.0,0,Mesurée,16,Non qualifiée,7.546574037,48.33701451,4,Brute,0,Continue
A2360030,A236003001,H,2026-06-03T23:10:00Z,2026-06-04T00:00:00Z,31,2026-06-03 23:50:00+00:00,606.0,0,Mesurée,16,Non qualifiée,7.546574037,48.33701451,4,Brute,0,Continue
A2360030,A236003001,H,2026-06-03T23:10:00Z,2026-06-04T00:00:00Z,31,2026-06-03 23:40:00+00:00,605.0,0,Mesurée,16,Non qualifiée,7.546574037,48.33701451,4,Brute,0,Continue
A2360030,A236003001,H,2026-06-03T23:10:00Z,2026-06-04T00:00:00Z,31,2026-06-03 23:30:00+00:00,605.0,0,Mesurée,16,Non qualifiée,7.546574037,48.33701451,4,Brute,0,Continue
A2360030,A236003001,H,2026-06-03T23:10:00Z,2026-06-04T00:00:00Z,31,2026-06-03 23:20:00+00:00,605.0,0,Mesurée,16,Non qualifiée,7.546574037,48.33701451,4,Brute,0,Continue
A2360030,A236003001,H,2026-06-03T23:10:00Z,2026-06-04T00:00:00Z,31,2026-06-03 23:10:00+00:00,605.0,0,Mesurée,16,Non qualifiée,7.546574037,48.33701451,4,Brute,0,Continue
A2360030,A236003001,H,2026-06-03T05:10:00Z,2026-06-03T23:00:00Z,31,2026-06-03 23:00:00+00:00,605.0,0,Mesurée,16,Non qualifiée,7.546574037,48.33701451,4,Brute,0,Continue
A2360030,A236003001,H,2026-06-03T05:10:00Z,2026-06-03T23:00:00Z,31,2026-06-03 22:50:00+00:00,607.0,0,Mesurée,16,Non qualifiée,7.546574037,48.33701451,4,Brute,0,Continue
A2360030,A236003001,H,2026-06-03T05:10:00Z,2026-06-03T23:00:00Z,31,2026-06-03 22:40:00+00:00,606.0,0,Mesurée,16,Non qualifiée,7.546574037,48.33701451,4,Brute,0,Continue
A2360030,A236003001,H,2026-06-03T05:10:00Z,2026-06-03T23:00:00Z,31,2026-06-03 22:30:00+00:00,604.0,0,Mesurée,16,Non qualifiée,7.546574037,48.33701451,4,Brute,0,Continue
A2360030,A236003001,H,2026-06-03T05:10:00Z,2026-06-03T23:00:00Z,31,2026-06-03 22:20:00+00:00,605.0,0,Mesurée,16,Non qualifiée,7.546574037,48.33701451,4,Brute,0,Continue
A2360030,A236003001,H,2026-06-03T05:10:00Z,2026-06-03T23:00:00Z,31,2026-06-03 22:10:00+00:00,604.0,0,Mesurée,16,Non qualifiée,7.546574037,48.33701451,4,Brute,0,Continue
A2360030,A236003001,H,2026-06-03T05:10:00Z,2026-06-03T22:00:00Z,31,2026-06-03 22:00:00+00:00,605.0,0,Mesurée,16,Non qualifiée,7.546574037,48.33701451,4,Brute,0,Continue
A2360030,A236003001,H,2026-06-03T05:10:00Z,2026-06-03T22:00:00Z,31,2026-06-03 21:50:00+00:00,603.0,0,Mesurée,16,Non qualifiée,7.546574037,48.33701451,4,Brute,0,Continue
A2360030,A236003001,H,2026-06-03T05:10:00Z,2026-06-03T22:00:00Z,31,2026-06-03 21:40:00+00:00,605.0,0,Mesurée,16,Non qualifiée,7.546574037,48.33701451,4,Brute,0,Continue
